,GGPS1,PDSS1,HMGCS2,IDI2,HMGCS1,MVK,ACAT2,ACAT1,FDPS,PDSS2,PMVK,DHDDS,MVD,HMGCR,IDI1
CAL-120,0.4153336484390216,1.023394377478779,-0.7051577617409097,-0.4774752794777834,1.8762706562134237,-0.38556959374578575,2.148961650695559,1.0231679697141698,2.4365706694242264,-0.6396913656858101,0.7426810254815501,-0.06899596534119437,0.2689613845939994,1.7676202982690692,2.065141186507188
ETK-1,0.2241391461974096,0.06830006547294014,-0.6746821829309636,-0.6091563146087411,1.589811622497877,-0.015649370511961136,2.6394139256876348,0.6077467699672938,2.701782730980672,-0.14977131145695405,0.8196593626469689,0.3545085243666766,0.5839933370540747,0.974986733314192,1.9004191697154336
H2731,1.0314115901235084,0.15559933473969573,-0.5979409263359553,-0.5617475273733554,2.1164528028579617,-0.07036726415569684,3.2032533866728885,0.37044870974990585,3.065793283545117,-0.07622454116887495,0.5945188235049823,0.3093387996875633,0.4125994885576841,2.0794576586795666,1.7521687107211243
NCI-H441,0.8914592103813593,0.5012704028536161,-0.8645498880756063,-0.649824121203916,0.921712170663095,-0.21991679267577272,1.7633955411096938,0.7939214693011808,2.534814384035668,-0.31211313174630456,0.8507515182888703,0.2927140377983285,0.3860904863613629,1.2052974913114929,1.3794641395570346
NCI-H358,1.0209428040993314,0.38418375966104135,-0.8036991758638654,-0.6943585482686905,0.9572012414841512,-0.4511111978067411,0.6992948989218575,0.46885229561265,2.4806206116471112,-0.5910739461801541,1.068942723825144,0.14502720533262345,0.03701049504431423,1.293315058546788,1.0861604224655343
LS-411N,0.4877269538024655,1.5727071165716848,-0.2533471270318801,-0.7163212698485665,1.3085638480769528,-0.5427605975856035,1.1352491825457456,0.7367144975114884,2.2545892512990333,-0.00644336411540271,0.8134366766065556,-0.1268500379432114,0.15721896340147476,1.4943451516917432,1.4473887462953476
NCI-H2452,0.933696891113488,1.2584001365275357,-0.7479425477216888,-0.6756432417382667,1.4012124551118617,-0.2289056378157928,2.3628222902645795,0.8937033044428018,2.5271865554855646,-0.009269151089754945,0.7897369219549267,0.3508681812459737,0.391896719458277,1.2479360652792557,1.2202716327835126
UACC-257,0.5694380947047324,0.6176355761414317,-0.7366100387989605,-0.6074865509913082,0.9272958209797456,-0.11782886889342067,2.054133773691932,0.9370394565712284,2.8165525647970013,-0.28592129944759204,1.0984598294359864,0.5439459185693307,0.2870351830524917,1.4982840418877352,1.5716317822521235
H2369,1.2779242096522119,-0.1043908414627355,-0.7548508689545339,-0.5257640924776873,1.0086006958039593,-0.4847891781615391,1.5754331950562548,0.8562469564193216,2.32212704264137,0.005373989625663925,0.6063253340412661,0.2193132345193028,0.1690569784726482,1.069028797738172,1.36961423466759
H2804,1.1965950163503078,0.9244199657066862,-0.5839302660576823,-0.6789233376545568,2.0684056215756548,-0.09718444139037527,2.2969168242446973,0.6662347053463894,3.0704231107807525,-0.5146422371268754,1.1694804725454873,0.3992188577979825,0.4302529392771586,1.5554919950852335,1.6225415935796592
