,ECHS1,ALDH9A1,ALDH3A2,HADHA,ALDH1B1,EHHADH,YOD1,ALDH2,ALDH7A1
CAL-120,1.9720481464109896,1.2100817854131078,0.231842020673798,1.6317527988806764,0.008274927054878218,-0.3866006648969344,1.352217874352701,-0.5735240766781223,0.07660478013277394
ETK-1,2.254980495138031,1.385396250560643,1.42962632453344,1.4316281714788657,0.2441318382017762,-0.32772303333266395,0.8379431394951892,0.9114722626628818,-0.2643617845049873
H2731,2.3304501221137843,0.992163447020683,1.6319105319852691,1.4227734448246203,-0.059105169668798085,-0.6526178510443982,-0.3764682833832089,0.5838356223205006,-0.6458411413083338
NCI-H441,1.9153961780485869,1.3771048331169842,1.3328593613159094,1.5158038255465662,0.25347155570844954,-0.4409448709338684,1.1285393523948666,1.3361735785661355,0.07464304281000254
NCI-H358,1.5877518834858992,1.5451495540176332,1.2986697096566218,1.6070449066401358,-0.16216697369108254,-0.7142256778311348,1.1161483135950858,0.04045089275782979,-0.4721964057327893
LS-411N,2.3629744273952324,1.4349158543636866,1.8377274200970133,1.6600943362933116,0.4029477736862192,-0.5260329101708265,1.1554059609808076,2.0119444389177112,-0.2725748310220648
NCI-H2452,2.452200054954455,1.3303801067668102,0.8754015206373441,1.4565790685502111,0.17025646066846573,-0.6191519726192363,0.3906215173058152,1.6189478465302651,-0.2197578310959757
UACC-257,1.999831000808932,2.2583246093223224,0.6333516847457168,1.8471595766001685,1.4125574012038709,-0.2947082592835378,1.1345315416035182,2.4311657709511687,-0.30141033445303145
H2369,2.009006829798833,1.5849192336089255,0.877434611492422,1.5445579811135215,0.06292536632118594,-0.5053301462911605,1.2302640549101356,1.1732035413419741,-0.36749352899912063
H2804,2.5475734558473246,1.8753556015132349,0.7399248896399361,1.4674726062122696,0.18817317512513027,-0.6712312401415245,0.6898169105935671,1.8835769076724005,0.1213972550003646
