,ACOT4,BAAT,ELOVL5,ELOVL6,YOD1,ELOVL2,FADS1,FADS2,ACOX3,PECR,SCD5,SCD,ACAA1,HADHA,ACOT7,ACOX1,HSD17B12
CAL-120,-0.8639099797909019,-0.8246923178924308,2.0061574571615917,0.7895502186856893,1.352217874352701,-0.21846097498191325,1.2555042575352289,-0.4967991560520339,0.4137388868392344,0.3635994262317375,-0.5027872674134807,1.882303049031688,-0.04443419505790189,1.6317527988806764,1.4659892970938588,1.0591984235008909,1.4001410866919175
ETK-1,-0.31789428439474776,-0.8758516215367661,1.8493401699408167,0.41845481496309417,0.8379431394951892,-0.6013526470034546,2.3835915259921,0.6652558091119734,0.4948335478212704,0.7704906108680689,-0.4775650288124119,2.186318489848323,1.1048673693798263,1.4316281714788657,1.2461607199947975,0.8894651898501252,1.0622707354393812
H2731,-0.8474075708146509,-0.8494254244385824,2.4749197641528564,-0.1811343019639742,-0.3764682833832089,-0.2174695236537929,2.316603953856248,0.8185929993945696,0.5034382191871393,-0.012457345825090385,-0.4873864792790206,2.1190728995318424,0.6372914868089068,1.4227734448246203,1.575750823049482,0.6935849252327649,1.0743813153485235
NCI-H441,-0.6792049225183688,-0.8685046160691875,1.4701827366787197,-0.32117884990655216,1.1285393523948666,-0.8111155487676555,1.5759137624052733,-0.5927404869827889,0.7303413464726503,-0.04765470636441791,-0.768484183810875,2.1497674517839225,0.6093150626289137,1.5158038255465662,0.7720874359527875,0.8603710664773335,0.9974876976636116
NCI-H358,0.2420981240949472,-0.841037473183299,1.9164450605407453,0.05668894724139027,1.1161483135950858,-0.9457628313841576,1.6118892193378744,-0.6919982595265715,0.6799465362981943,0.1263455996581189,-0.8048360444427939,2.060238882825462,0.2184665921461292,1.6070449066401358,1.377788089600042,1.0293683180880129,1.1310598677228272
LS-411N,-0.9122001096286247,-0.7870097030253941,1.3164577270078373,0.2015457942226884,1.1554059609808076,-0.750656187721432,1.3629197547318312,-0.4976972229858998,0.2831763738380689,1.3760873486148015,-0.5088922482220232,1.7701382867529578,0.474064000127071,1.6600943362933116,1.019075968984477,1.0120272894139355,1.5479915862164455
NCI-H2452,-0.7969250482943154,-0.8366205182665633,1.9475887058759616,-0.5564631943575763,0.3906215173058152,-0.5319133339223894,1.780930447685122,0.3483106448696595,0.5281829234983748,-0.17461480376657554,-0.7892862006279745,1.953646048860858,0.4458132414182615,1.4565790685502111,1.1773216743866295,0.5840861603162407,1.4825375926488986
UACC-257,-0.7692257974025162,-0.7045108355914584,1.803415530377868,-0.5082738698187811,1.1345315416035182,1.1530728078027963,1.7523521062935452,-0.5609769972471813,0.22389447434411455,1.230388205976369,-0.5559302395135493,2.4097163477360484,0.6605177103245857,1.8471595766001685,2.062395242825148,0.9096974797418974,1.0722967985158007
H2369,-0.3144034122888652,-0.8292364141967566,1.6840554829051002,0.07889871165766889,1.2302640549101356,-0.5749855066868266,1.7278997440254291,-0.037969166135752686,0.6635019491748567,0.5870880573203023,-0.8146635930992908,1.3533509783803277,0.5019810564239555,1.5445579811135215,1.2856518491065283,0.6228255016341049,1.42238711333664
H2804,-0.8839012944744374,-0.8338236083209055,2.1930419239468995,0.11807789744644563,0.6898169105935671,-0.6721441379475284,2.1104875387969093,-0.5455720452452961,0.11668630884254988,0.11593948884146195,-0.6727997018257653,1.9191660158999808,0.3452987726644869,1.4674726062122696,1.7199707887433875,0.5693025892238462,0.8923316266289947
