,CPT1A,CPT1C,ACADS,ALDH1B1,ACADSB,ACADL,ALDH2,ACADM,CYP4A11,ACAT2,ACADVL,ACAT1,HADH,HADHB,HADHA,ADH7,ADH6,ACSL6,ADH1B,ADH1C,ADH4,ECHS1,ADH5,ALDH9A1,ALDH3A2,ACSL5,ADH1A,EHHADH,GCDH,ALDH7A1,ACOX3,ACSL1,ACAA1,CPT2,ACOX1,ECI2,ECI1,ACSL3,ACSL4
CAL-120,0.2009433022871457,0.657695406114606,-0.5673381788431794,0.008274927054878218,-0.30133979073155204,-0.8113865491938679,-0.5735240766781223,0.8379265663628765,-0.6808576477877409,2.148961650695559,1.3667156416936326,1.0231679697141698,1.6043990604311928,1.4410680522196293,1.6317527988806764,-0.8349638926372529,-0.801005055316522,-0.9294745193746076,-0.8781892768111936,-0.7532390601410942,-0.8906140424547687,1.9720481464109896,1.8415487401972757,1.2100817854131078,0.231842020673798,-0.7318614713868649,-0.7935980648862287,-0.3866006648969344,0.2986323853855002,0.07660478013277394,0.4137388868392344,0.6483452590699217,-0.04443419505790189,0.2942465090494215,1.0591984235008909,1.206408341530061,2.405224953480096,2.152701511077334,-0.15608468891609292
ETK-1,0.5458560811306764,-0.4788372377232731,-0.464882897392496,0.2441318382017762,-0.3736056285765815,-0.8699178670971592,0.9114722626628818,0.6562896545421132,-0.5885541635751603,2.6394139256876348,1.5518336281719904,0.6077467699672938,1.4947323440474003,1.4099139629282538,1.4316281714788657,-0.8803045872322769,-0.7510740339685296,-0.903204599820953,-0.8085843846095906,0.0645689253360022,-0.8839843401388504,2.254980495138031,1.2561922056016863,1.385396250560643,1.42962632453344,0.7037455957220247,-0.8214052002258273,-0.32772303333266395,0.05154122173983068,-0.2643617845049873,0.4948335478212704,1.6340001691206352,1.1048673693798263,0.4300687893124484,0.8894651898501252,0.7961391147090755,2.1913036901749194,1.7476940830302308,-0.4524924225555709
H2731,0.5633216073087426,-0.04976578334332022,-0.6191662692199381,-0.059105169668798085,-0.45012542298678776,-0.8484886159133288,0.5838356223205006,0.84761244141384,-0.6759385763835932,3.2032533866728885,0.9449012613408292,0.37044870974990585,1.3973591464886022,1.626374581806992,1.4227734448246203,-0.7966139063689941,-0.7814529334045002,-0.8678986297414392,-0.8062671969059768,-0.8197256645049495,-0.8622759705209272,2.3304501221137843,1.9560208650153732,0.992163447020683,1.6319105319852691,-0.7075070196179959,-0.910441817875158,-0.6526178510443982,-0.19215076814790608,-0.6458411413083338,0.5034382191871393,0.6253771745044739,0.6372914868089068,0.36721812812141796,0.6935849252327649,-0.4363615339098288,2.4525747777875293,2.09704132460512,-0.5851766335735371
NCI-H441,0.3248252943074961,-0.8146697819243461,-0.8489312209861601,0.25347155570844954,-0.15137913417989807,-0.8125247600184073,1.3361735785661355,1.2350692078137306,-0.4516492641729475,1.7633955411096938,1.154536979200358,0.7939214693011808,2.1130497678430142,1.4424694373743083,1.5158038255465662,-0.8029777939328232,-0.7637329712872071,-0.9653163380416592,-0.8924772535666746,-0.6709259908524013,-0.9932823906480652,1.9153961780485869,1.5928365151981594,1.3771048331169842,1.3328593613159094,1.5298250400826303,-0.8735588110224983,-0.4409448709338684,-0.08554515245202822,0.07464304281000254,0.7303413464726503,1.3228074957612437,0.6093150626289137,0.3680734843758869,0.8603710664773335,0.6432526030489601,2.3559761615851977,2.3994334248696414,-0.2940483052190775
NCI-H358,0.525806396938416,-0.03957721659876206,-0.7652695256026398,-0.16216697369108254,-0.6411501827828978,-0.8435734490799695,0.04045089275782979,0.8637539660418657,-0.5721160742133053,0.6992948989218575,0.7834587948182322,0.46885229561265,1.6447343074538172,1.3780724615965212,1.6070449066401358,-0.8540374745666665,-0.7963901200099783,-0.8224199386488709,-0.8783948399916512,-0.15116236989341372,-1.0020056248429814,1.5877518834858992,1.6921799464803693,1.5451495540176332,1.2986697096566218,-0.5943284824405468,-0.874166484436498,-0.7142256778311348,-0.5929328348060037,-0.4721964057327893,0.6799465362981943,1.4742194683061265,0.2184665921461292,0.4902785793867098,1.0293683180880129,0.6601589503999683,2.8345053416573416,2.142451218470835,-0.5838712741790036
LS-411N,0.8376328319303578,-0.7739899112700918,-0.5899216982498822,0.4029477736862192,0.08658506655424138,-0.8466723384767285,2.0119444389177112,0.9259579545420638,-0.5806248220244524,1.1352491825457456,1.6469699358085332,0.7367144975114884,1.6484240528202183,1.3684849396948426,1.6600943362933116,-0.8663757117701268,-0.7494970983626034,-0.9073169945373921,-0.8347342284687758,-0.8376995979256249,-0.9911108368460756,2.3629744273952324,0.7939658979105424,1.4349158543636866,1.8377274200970133,2.3057534079820674,-0.7446937402952041,-0.5260329101708265,0.06552325665681974,-0.2725748310220648,0.2831763738380689,0.636213247364296,0.474064000127071,0.8622713583420942,1.0120272894139355,-0.2655387359047056,2.748706670216405,1.8070296884786683,-0.5528131222284178
NCI-H2452,0.5337583266351688,-0.7664838179544441,-0.4100533355473845,0.17025646066846573,-0.1959415910297112,-0.8588355791630995,1.6189478465302651,0.6513580142219939,-0.5104488978664521,2.3628222902645795,1.1100269564977,0.8937033044428018,1.2950631564157438,1.5329722135794543,1.4565790685502111,-0.7796986067390956,-0.7732732460024554,-0.9491599822361134,-0.8660193356358691,-0.9121395848806418,-0.9752125087750302,2.452200054954455,1.8347313082447896,1.3303801067668102,0.8754015206373441,-0.2704534461499827,-0.9058664150906686,-0.6191519726192363,-0.013938515175990332,-0.2197578310959757,0.5281829234983748,0.3579474536592621,0.4458132414182615,0.15887006474857526,0.5840861603162407,1.362785292987237,2.4457137649199,1.2657478200854624,-0.01544154903148769
UACC-257,0.3579224918681126,-0.6658039022330906,0.16205295515066667,1.4125574012038709,-0.30489524346836056,-0.8708264133472807,2.4311657709511687,1.1328666066244713,-0.5917903661941609,2.054133773691932,1.3722881054813825,0.9370394565712284,1.7547843262279164,2.0881879226058278,1.8471595766001685,-0.8535759979079351,-0.8161807598811858,-0.9234546262974682,-0.8602061779473511,-0.9049667602735612,-0.8515783339138898,1.999831000808932,1.4403904526135387,2.2583246093223224,0.6333516847457168,-0.6700437279459417,-0.8718169313684327,-0.2947082592835378,0.5618352825418375,-0.30141033445303145,0.22389447434411455,1.2196756259512145,0.6605177103245857,1.0328552779962954,0.9096974797418974,0.8293697734840442,2.236975456347596,2.8082000585427465,-0.5001726058432905
H2369,0.34114545875779306,-0.09401377310768387,-0.09917967081719856,0.06292536632118594,-0.048929679557525925,-0.8626783519673408,1.1732035413419741,0.7449953703153405,-0.5263425000330305,1.5754331950562548,0.8633551066878155,0.8562469564193216,1.6080288761817063,1.3866847329843064,1.5445579811135215,-0.8806085787847603,-0.7606484671728415,-0.8821731265374921,-0.8149662239279678,-0.8239436955447224,-0.9600907349384672,2.009006829798833,2.2733078473411634,1.5849192336089255,0.877434611492422,-0.370710617902039,-0.8540217526426197,-0.5053301462911605,-0.4676400506017951,-0.36749352899912063,0.6635019491748567,1.0645797042713092,0.5019810564239555,0.31504570675476434,0.6228255016341049,1.0968104489681991,2.5903037632828774,1.8525964373750736,-0.244955928453887
H2804,0.30992499505459803,-0.8289178205281696,-0.1901061397825164,0.18817317512513027,-0.5650562812875475,-0.8932850667485708,1.8835769076724005,1.0605702980878806,-0.4955866841810633,2.2969168242446973,0.9951633961302421,0.6662347053463894,1.7826418781659603,1.3613235592335686,1.4674726062122696,-0.8734522718798075,-0.7612772094026287,-0.8438143583869965,-0.8328250618741236,-0.87018508980681,-0.823766510703249,2.5475734558473246,1.9084150943132918,1.8753556015132349,0.7399248896399361,-0.6382184305939995,-0.8286936571619392,-0.6712312401415245,-0.1855699356598201,0.1213972550003646,0.11668630884254988,0.6174530257577046,0.3452987726644869,0.22605877593232734,0.5693025892238462,0.8593268389216117,2.617689059041401,2.2780512360039755,-0.5475031542562917
