,ABCA7,ABCG4,ABCD1,ABCC12,ABCA1,ABCA6,TAP1,ABCA5,ABCB8,ABCA10,ABCD4,ABCA3,ABCB11,ABCD3,ABCA2,ABCC2,ABCC11,ABCC6,ABCC3,ABCC9,ABCG2,ABCC4,ABCC5,ABCA12,ABCG1,ABCB4,CFTR,ABCB1,ABCC1,ABCD2,ABCB7,ABCA8,ABCA4,ABCC8,ABCC10,ABCB10,ABCB9,ABCA13,ABCA9,ABCB5,ABCG5,ABCG8
CAL-120,-0.5131614484520021,-0.95759873397345,-0.3197149384923594,-0.969361752984418,0.4005648111086329,-0.981667498821088,0.8021226222428428,0.8261092590200905,-0.6269345798726389,-0.9000403845033452,-0.5005554199387747,0.0102544936455155,-0.8412833991082312,0.7498620385015441,-0.7897619397954034,-0.7505607682916169,-0.838091967519302,-0.7504716362730748,-0.6739559929444865,-0.6723924411305503,-0.5673919303694104,-0.3313609666395734,0.1068059114703988,-0.7073030802492513,-0.8684623272731878,-0.8907302212863419,-0.8113469811630569,-0.8178864278011595,0.4520108687980292,-0.9833152408577248,2.0613906728091083,-0.7915342134495329,-0.7348315916798224,-0.7162105560255534,-0.23285548185420146,1.1202184925419214,-0.7011712237245721,-0.9840266283595408,-0.8862702830661996,-0.8609584716394579,-0.9115409346970887,-0.7001422465701334
ETK-1,-0.34216341697854785,-0.9445978915025496,-0.5542878376844215,-1.0104803899137735,-0.7311820593738253,-0.979922226559626,1.4398092978487822,-0.7688913411831859,-0.4996952973018795,-0.9825393279242296,-0.37295149644348574,-0.7315432872797376,-0.8877853428381873,0.6314614404680282,-0.8445253503531508,1.164711817003671,-0.8046150353866708,-0.7909387897097552,0.4432880150202694,-0.9515732676052,-0.6507258075517918,-0.6582948045848007,1.0561733673473699,-0.8023293718963423,-0.7535821088703907,-0.9167017139262866,-0.8692220018170437,-0.9334247168290424,1.0374329508869748,-1.013832244837881,1.7863156628533412,-0.8922432366363875,-0.6291440408422211,-0.7039380501313482,0.01738118263953405,1.5086926883213316,-0.6781489364222762,-0.4960256224755541,-0.8783630057275695,-0.8081337879868703,-0.8992267660662779,-0.8078355743813417
H2731,-0.4368504831900149,-0.9082251257541484,-0.6940651756943299,-1.0020570377198097,-0.33428036320737825,-0.9517256391796022,1.7081887431564868,0.08148788584575048,-0.5019060633883711,-0.8829267026880377,-0.43351870110567664,-0.27165540433408586,-0.8593567852418561,0.4833097721091218,-0.8239995204670952,-0.31575725770125834,-0.8859681600220873,-0.7567144263265098,0.5152122764676157,-0.8834747106152152,-0.8603691014884829,-0.1843513179805658,0.3299030733670824,-0.7316643385723971,-0.7586785186121404,-0.7842242993176978,-0.8241212316687057,-0.6256296175357009,1.5619284296950458,-0.942768022638838,1.3910418307738124,-0.8650597465306176,-0.7527196169138102,-0.8858846086167352,0.3003958945483175,0.7578776471294931,-0.7047669285744085,-0.8915943362702439,-0.7891492351810054,-0.8873582357897488,-0.8205266372158578,-0.907852469026186
NCI-H441,-0.3322472946867069,-0.9521289965825052,-0.8137284455082786,-0.9802959841254508,-0.07565959257242885,-0.9118571181793932,0.6154879953171378,-0.5745474739160606,-0.6255038248078375,-0.9167160506235108,-0.5549335067434628,-0.40250602356225856,-0.9078410456064929,0.3764528392878545,-0.8897309608110863,-0.7839169837807789,-0.9027760535097212,-0.7694348446767032,1.14952130691082,-0.8730887425789932,-0.08595531722515865,-0.2338530018757997,0.29442274298657645,-0.7416108561107118,-0.8146172965396614,-0.8815891858955769,-0.6927812444410212,-0.8540054711992882,0.6693304513543683,-0.9611247997954964,2.179471485181561,-0.9474748818823092,0.33908103381824223,-0.7734747562773447,0.016532130338086558,1.2125580624236836,-0.7328628781805699,-0.7921914347174301,-0.853578476628114,-0.8076516962559764,-0.9371249619171452,-0.9374809281533008
NCI-H358,-0.3254481283198956,-0.9933734547560376,-0.3815889028242327,-1.01916703475634,0.03331856327535982,-0.9945581840038492,1.436965532625224,-0.8067611599511899,-0.5738407717358578,-0.9594645524766976,-0.2492511645608911,-0.4825620574891717,-0.9549914796227216,0.5335440313563322,-0.8410282706321481,-0.6620932302460172,-0.7868608143376917,-0.8543807333323405,0.9120233971503976,-0.8437960181279158,-0.7798690002818952,0.28674166758732433,0.0972178699210715,-0.7315770353158685,-0.7102507824903623,-0.9793739933461879,-0.7816288493851999,-0.860625239418467,0.5255463012915519,-1.0365556217870189,1.6919786453007508,-0.9367944188852632,-0.711903939443051,-0.7924332436963514,0.3851850483906007,0.7060085341139649,-0.6664672560808436,-0.8509077820802361,-0.8627137345301883,-0.9019561718572836,-0.966734629264452,-0.8325026202739056
LS-411N,-0.4347527053933661,-0.9766817005450208,-0.5607445311836481,-0.9945511010999988,-0.8535788802182315,-1.074065502446633,0.6760506605172956,-0.9613320976834392,-0.5114942129249227,-0.9788702569904556,-0.4785738909806284,0.10690526670943587,-0.8559703332277405,0.8192381830442544,-0.8181001129553954,-0.6913632862419763,-0.8257415315532199,-0.5908309296162791,1.1369157528336735,-0.9881349683227226,-0.6674966858235148,-0.08793810737617022,0.3711011974601008,-0.7411112203023512,-0.6876798330714684,-0.8659495280916969,0.7005051947882354,-0.8681685667868081,0.7196884162320989,-1.0258118824977582,2.1494545896142028,-0.8830439665893356,-0.6718565589013161,-0.7154877255340408,0.0031776986474422843,1.2720144506913833,-0.7050903718000386,-0.94599776253422,-0.9163908485989242,-0.8252644279108758,-0.887731827989314,-0.783235895275111
NCI-H2452,-0.6422297717616458,-0.9108581411249062,-0.5003494786317243,-1.0152014215289096,0.29629122475691755,-0.9755726136189258,2.074960850383058,-0.6646914765988162,-0.5450119006587455,-0.9688677661645956,-0.6062833400158325,0.019308837857776564,-0.8516600353505623,0.1032886995430215,-0.7918759539094687,-0.6404542449481778,-0.8028729293873118,-0.6530630227647394,0.41405283229063583,-0.8753232615388459,-0.7288627621537811,0.06725254515491064,0.2302584616303557,-0.7394256369688279,-0.3042474591797509,-0.8685391281911289,-0.7641581215441425,-0.8455138564908381,0.8083854706980179,-0.9816934675654052,1.211960257799782,-0.8656631742936342,-0.7892046453129872,-0.7894057731492935,0.2065955032763785,1.1645478435631458,-0.7372935986394291,-0.8190521957022188,-0.7945509404862087,-0.8614898037240001,-0.8849768684890709,-0.8508327409738076
UACC-257,-0.6034095547077779,-0.99280356357497,-0.3838635265549527,-0.9593642903886944,-0.7095509279716598,-0.9003980775736933,1.0623297001305123,-0.29861877040606577,-0.5337877302371999,-0.9532709498919154,-0.3420319120055004,-0.4745127755279129,-0.7879413206084335,0.7034188355081362,-0.8949768363759557,-0.17949212010387508,-0.8146336165323088,-0.7494616590819229,-0.8658386679137862,-0.9629499647637844,-0.7188054245336353,0.2320756776341301,0.486310140126629,-0.7666874329537224,-0.8290856765914008,-0.8319075638048657,-0.7377973253157473,-0.8796030497823085,0.3324094151185145,-1.0020244174938264,1.6466817374439104,-0.8697457057901624,-0.7714872706292983,-0.7904737528880427,0.4688803548436959,1.076266930995499,-0.7096153592583264,-0.9258187545818788,-0.7999645154100294,0.15828014788641562,0.5799120142262549,-0.8013227848466374
H2369,-0.6568699414374594,-0.946200402404638,-0.6475934118097902,-0.9132663576538604,0.8098700571225874,-0.7719373952966337,2.269797739805772,-0.4291003887341024,-0.6525558339680078,-0.8787965680200589,-0.434996403647295,-0.4915129029387899,-0.950261308182369,0.16744108283894166,-0.835166195124693,-0.6715953733555229,-0.8560615900096329,-0.8242124795256741,0.333860246384791,-0.4868536774401168,-0.8398437452292171,-0.26937725427668546,-0.11285433218145355,-0.8483305814366663,0.8898954035184569,-0.8047228006666477,-0.7261207844961147,-0.8576147994355896,0.8902827135923661,-1.0017672047018205,1.7307167004341322,-0.7444513077832262,-0.7403099136039032,-0.8367477501366365,0.04233389974974463,0.944123247208304,-0.7615301305112813,-0.9079804257389142,-0.9062612444934476,-0.9178535762092151,-0.8820597266412415,-0.7571959247294229
H2804,-0.4391345600784163,-0.93639608504092,-0.3645570675111661,-0.9157829533893,-0.2667559904913687,-0.9700688179028766,2.381069330765265,-0.7156193734963089,-0.4814971420630204,-0.9571551159190332,-0.4984819550105993,-0.3694201425637737,-0.7684432537409328,-0.06898208417513771,-0.8633864443694901,-0.603605600056396,-0.8061760093356141,-0.7969283819691326,1.364819501963209,-0.926904197463474,0.4827597070433134,0.16667859936239704,0.20597811630508275,-0.8090086446087598,-0.4169176095752509,-0.8925244861003514,-0.859183116766129,-0.8858688750778098,1.4802475579123318,-0.9968776304158204,1.3936848217922424,-0.8338655748967388,-0.7542026558271475,-0.7592420084061984,0.12828144805929612,1.260014427286119,-0.6847976719568185,-0.9283177154916126,-0.8085978428230716,-0.8986840484772011,-0.8298451796869748,-0.8720242442851747
