,LSM5,MPHOSPH6,PATL1,EXOSC4,PNPT1,EXOSC2,SKIV2L,XRN2,EXOSC5,TTC37,LSM6,EXOSC1,EDC4,CNOT3,CNOT2,XRN1,PARN,C1D,PAPOLA,DDX6,ZCCHC7,ENO1,CNOT4,CNOT7,EXOSC8,HSPA9,LSM1,CNOT6L,EXOSC6,LSM7,NAA38,LSM4,CNOT1,CNOT10,EXOSC7,LSM3,DIS3,ENO3,ENO2,CNOT6,LSM2,DCP2,HSPD1,EXOSC9,EXOSC10,EDC3,DCPS,DCP1B,WDR61,CNOT8,PAPOLG
CAL-120,0.8474786255504374,-0.2338051787373815,-0.18424745434465095,1.268863593062507,1.3629212018312469,0.8457850471404602,-0.5649650527814222,1.7707231432885242,1.4122921283428185,2.0049295589632044,2.29558247417914,1.8355447139149303,-0.5898780017347311,-0.5051571976623147,2.6034219240280723,0.17825332486463527,0.5222020083595593,0.5373384769962901,1.2118666171335366,-0.28416607437908703,-0.317500530830355,3.4552113092895467,-0.5313968106731622,1.8193442019811616,1.6945979805325688,2.4333585112256744,2.40420253900142,-0.4075612353209665,1.562163167266478,2.2833829976519207,2.601168823601316,2.347288577781899,-0.005029743921750853,0.25777727083070523,-0.8947751642054786,2.211098314480927,0.4036110349665651,-0.7010406161957049,0.8325336445650331,1.5862389810993465,2.3152536930831387,-0.3697582490306423,-0.04764284946269805,1.8310565861227444,0.8920555883849587,0.3265278562055897,1.4344840921155142,-0.17902855263531314,1.334423763594637,1.2410999644241352,0.22749872666837784
ETK-1,0.8569924484950452,-0.3908056624485586,0.3162056822635674,1.6053292164439836,0.8786535177847504,0.4511977792375384,-0.4254522928902959,1.471427052433554,0.948562431819052,0.4735395500611086,2.3687206917778907,2.0831466608751206,-0.7113659935465528,-0.5765743088381602,1.0710527223834279,-0.7324166607240065,0.2379690684725365,0.2398084409988423,0.962003662856864,-0.1017976066648712,-0.5742666066962069,3.573337899210351,-0.5576527928725573,1.696283456580984,1.7678184483525408,1.8219160842062476,1.4268895627902514,-0.6263711190077388,1.6793979402128068,1.9438542738404123,2.8323640065407445,2.351924665859109,-0.2968012404953426,0.4081822326813444,-0.9588155986814152,1.879489695828448,-0.19192297327965047,-0.6646666782864593,-0.2601200207167375,0.9766769227826032,2.399319087063585,-0.7400059328938909,-0.3002796040600496,1.3439861230323311,0.7600338058363154,0.6894475569781233,1.9019085785049212,-0.6182795032994219,1.1705332104263384,1.0107761856246762,0.16429837765395666
H2731,1.458619489836232,-0.1826034140589643,-0.17397825064650718,1.3589544916534118,1.444604121704366,1.06358134088036,-0.4779002105045672,1.6222831722328306,1.0388833810462854,1.9813287396880384,2.322361630072975,2.094170975250996,-0.5435782411468942,-0.5551575558734695,1.3357037521076722,-0.10817331060421796,0.6932667828964273,0.03305428774194952,1.0847762170608166,-0.25963138105233885,-0.4108410115205327,3.5987099016746624,-0.4848667545170795,2.1390126771114644,2.1521484016165777,2.2831896810537797,1.6076901052170744,-0.5370707859513879,1.3735396682820225,2.432098252882541,2.518936513694784,2.2632995132933886,-0.2390630429226467,1.0163072730749791,-0.8625414509953436,2.1049329455353964,0.6550325029025322,-0.5248153812463694,0.6388404989732005,1.4091056297906863,2.57105400049887,-0.5836269535722843,-0.015492098391005784,1.9807861795875903,0.7336511834301225,0.3550686140143299,1.3808607424824677,-0.3181419288795221,1.351643946768677,1.461617359461988,0.3440148911423704
NCI-H441,0.6489384246759652,-0.7094949848234742,-0.09615138284798083,1.4996788286740124,1.2344844825419137,0.5058312011950211,-0.5310027385221149,0.8636986370103215,1.2903200947629168,1.6872829519718888,2.3919494013941165,1.7487636621769238,-0.6198260940135365,-0.6508842248161054,1.39506882688157,-0.12024328918795775,0.33974138239525603,0.12056421202106304,1.0354181953078296,-0.20096276963068307,-0.02565977811987632,3.621256314618456,-0.31385779056086355,1.5496859149259867,1.7697225432631756,2.373357163959445,1.0802309734130673,0.034071299186590805,1.5598147212409597,2.026767808592342,2.526152107481658,1.9871798754928016,0.060479909337845236,0.5207287615338527,-0.8290692765166618,1.6887617769056869,0.2993533836831045,-0.5708155418615027,0.07692336919822032,1.5723663413206632,2.3046727506380607,-0.4839039417934214,-0.14525548905350316,1.536704100149011,0.7559984410746519,0.41544285644178736,1.6346422605197026,-0.37411533029922656,1.311894610644694,1.5955105308002673,0.5606015993678289
NCI-H358,0.34557366658648103,-0.5602098710705663,0.16269318595762033,2.2761856960618188,1.5845062447585418,0.8718477304276694,-0.7221786648776285,2.0206505854107646,1.4626790470101865,1.63605180656665,2.430895068568031,1.5693423314802768,-0.6179899324027653,-0.4382799150150581,1.387142078262649,-0.22187413057246788,0.17895017592828472,0.10944950209161436,1.3567834116103052,-0.3719157035676533,-0.18920647585149886,3.5936745428056014,-0.6131158858269862,1.6055398156009486,1.85074944692756,2.616465447261166,1.6462924758618782,-0.20852377722950172,1.342940316261284,1.8176591879681918,2.2534892629745014,1.6549055319488115,-0.14973959017129596,0.7102100869636249,-0.8967547040309267,1.2529261897840367,0.7024460120199431,-0.5617804051285414,-0.07879883960213023,1.6553377571426255,2.257817829396728,-0.6642756938955521,-0.19133139134436508,1.4401512561428904,0.49523620748556396,0.6518515271497755,1.6731815192861903,-0.18222088069807094,1.6148406547398593,1.4285944613245982,0.5717509841902507
LS-411N,1.0801016464614148,-0.2856371665151856,-0.09471111917298336,1.6576425850909249,1.6575084031739036,0.8987206617909891,-0.7302111135946369,1.488155989441302,1.43979053034355,1.1237087058391737,2.5428158839041286,2.161700755161859,-0.5060672719902356,-0.605580082143783,1.3498083890697758,-0.08076743545925684,0.4162077483495025,0.02502929626807733,1.278488002810658,-0.12837628528962008,-0.09373959901733384,2.993002353761813,-0.3434157646888767,1.7014950413057548,2.3636065423146264,2.8166197843335583,1.4222584334544373,-0.48213307175117,1.6680738968731992,2.3603453808714008,2.570320284633321,2.3805569111106,0.008759591210647507,0.7420375163684105,-0.8951332601956401,1.3602194245125243,0.8321678375438925,-0.4549797548860259,0.5234749074942229,1.4896415490902764,2.2490529311394445,-0.5624883537194358,0.08028807039204354,1.7633489502162991,0.5979034715072304,0.4315421616429232,1.319804595994003,-0.045202416880812,1.3990928484838958,1.2415311185560511,0.6021726968489028
NCI-H2452,0.9436018834579564,-0.4301603739239895,0.2505550896893763,1.201584019088488,1.3463784137700319,1.029756501888008,-0.5839697406113508,1.461196567147509,0.6782115351040097,1.9500065178592447,1.9867731627943157,2.255693002494506,-0.5257276548221609,-0.6444105614857668,1.274396753722949,0.2312578055492367,0.5741177213089262,0.08434846490032959,0.6753064270490774,-0.5056473503800389,-0.3501408555425457,3.644718310824902,-0.4478799594978365,1.640798792932185,2.241310560214938,2.4441311047115177,2.0064133465465903,-0.37054995411924935,1.642596179928406,2.1359806587154755,2.3654406851639407,2.2164184149375528,0.09339192032136603,1.0584076933283002,-0.9669712656724446,1.5605570447016774,0.3423295236426649,-0.1577045061477073,0.8634593569672953,1.2138451276218736,2.2201154835943617,-0.5837062351365195,-0.18484457689425807,1.377734435652535,0.9638091006541654,0.4303273301230632,1.0887360359025708,-0.18837290346194674,1.4523374265995703,0.9951663335733067,0.3673169166279011
UACC-257,0.8844319325705501,-0.23698973662183126,0.268543160619601,2.342840179233312,1.5309299583092273,0.9603105550138716,-0.5130965964597648,1.7463898163438059,1.4613337846345409,1.1030571067845991,1.5827648543264972,1.906103593338979,-0.5393883528575558,-0.4499909184887483,1.269377352279416,-0.4834176756687874,0.6359797797376865,0.11366191585206008,0.6327236751547641,-0.2571778420904403,-0.4376334277976737,3.5271034777096104,-0.5381442702671734,1.3299279165016529,1.8707681120918316,2.3847871672480907,1.0678894205184457,-0.7024253353837162,1.6765157537977935,2.334896367385126,2.603072336184034,2.2535883465482764,-0.19796405199158126,0.34982460850652586,-0.8345714732030174,1.3592093059988113,0.39727734241392665,-0.5395233666753406,1.217144290437426,1.0324553211270533,2.3142983544911564,-0.4410673464655727,-0.20178287061991326,0.7859308495509244,0.9022635204202736,0.7603538588657675,1.8226026689077093,-0.11607579710903,1.749402947002452,0.7644066901746693,0.2876418594366482
H2369,0.6462073476538868,-0.35047089489284833,0.13195755847563476,1.3010073025168936,1.321447019254461,0.9120813412884059,-0.4004023857311026,1.474521196208772,0.95461648872371,1.9949174157945564,2.495499471225981,2.208093134982501,-0.6588732302875699,-0.5902112125388548,1.2947328774719562,-0.0473864241358064,0.4745510609946562,0.2009491207404918,1.1747821665047815,-0.481842317609468,-0.31920255505869555,3.3714579088622094,-0.45477051621430603,1.8626306076055144,1.7728857525268769,2.8049729780332173,1.5229781558257889,-0.3541020934671619,1.209974228385975,1.5417999052958218,1.911054577666308,1.907938741541152,-0.24518408670237266,0.5807437551656219,-0.8267784079569916,1.5091731404248878,0.1522787615916195,-0.6969520697969767,0.08836143890241252,1.442128023410261,2.1304763957131194,-0.7754011818386668,-0.16799607540258046,1.710526598251538,0.8897233576778001,0.4419796269921003,1.0614579359291496,0.010217630258704296,1.2340219016753409,1.2468960975853716,0.19797339357613408
H2804,1.1515307782473991,0.024615818147581174,0.11325296355752328,2.0273423040240037,1.5933976821760711,1.1965783702284511,-0.4775542781448622,1.6065415563298133,0.9716069760252048,0.7864649061789251,2.1963587808172806,1.9067395059360328,-0.6072051581446782,-0.4988088819602304,1.3514772583097587,-0.20762902626722984,0.5246983593424206,0.4575805026566575,0.6626062626642801,-0.5398940155191514,-0.4969730652469484,3.6133299007327135,-0.6565701361736151,1.7528026431179022,1.8140009704448583,2.567567830413045,1.9826506365442045,-0.630315841281331,1.9081696113112403,2.0992289417176924,2.4479368013459983,2.057381455542543,-0.2981060236469604,0.5057398444891831,-0.8898135334637001,2.000727418004172,-0.0022367384193407625,-0.5154354630369676,0.7804373483014526,1.0801881489668517,2.2661366516843797,-0.6610407742657489,-0.13990552202825465,1.518983339235454,0.6119391462071154,0.7387711630603679,1.3470471991574589,-0.2923827295283884,1.3714574676925055,1.285514769305834,0.2308918850268535
