,DNA2,POLE4,POLE3,PRIM1,PRIM2,RFC4,RFC5,RPA1,POLA1,RPA3,POLD3,RNASEH2B,RPA2,PCNA,RNASEH2C,MCM4,POLE2,MCM3,MCM6,MCM5,POLA2,MCM7,POLD1,POLD2,RNASEH2A,POLE,RFC1,RFC3,RFC2,MCM2,LIG1,SSBP1
CAL-120,0.28385582396861603,1.68126951314623,1.4134149077244071,0.9230833198059164,0.4067153898654625,-0.5916932780655894,1.0147855985279524,1.020574658283414,1.1901253653400303,1.960021238777512,0.2794865654048187,0.3046539629359443,1.9092222001409955,2.2210528841453128,0.1120371310482809,0.8929396175677138,1.1865700769159089,1.6287353901097732,0.4284632125232913,-0.4412498010368203,0.958228180849879,1.6413312384234842,0.5601650527890042,1.9112280906768018,2.001296569295107,1.2575569384115923,1.3091484808782592,0.5965246134377102,1.0533230208413402,1.0290794607215352,0.11627190980426415,2.482868472658911
ETK-1,0.028208125943333086,2.082306924671664,1.4964947328845473,1.4346683592792246,0.34757993859621583,-0.6769521194895549,1.2010435071484638,1.1287798925461967,1.0435351878231691,2.0678420530225954,0.1454888575075268,0.9966916741101658,1.5098909145958723,2.815779264296774,0.47306714355215707,1.3975881547393427,1.0618507901637857,1.880854066415136,0.023703954008552016,-0.3657740947739291,1.388328658164348,2.09423274483902,0.6063644858559535,2.180602164052736,1.9232760908051465,1.5298551211744589,0.622425082484521,0.5683142177436731,1.866551072465817,1.7136324585265112,0.3943496185082161,2.575062091929297
H2731,0.020992995730732048,2.451598337168035,2.0026569952284508,1.515552383537355,0.7697158839121978,-0.4257572143664454,1.3704343139565252,1.1354050420239363,0.9958606155801571,2.080264904519188,0.27341813941076376,0.7459255626706428,2.060943079904546,2.5889564770608513,-0.06651916259104737,1.0754776493748557,0.7012412892476275,2.1373205565643363,0.496420997835153,-0.5979602472945125,0.7445029055367971,2.165473168441691,0.6988182030871385,2.5342575827395053,2.0607256702603083,1.5905687973603235,1.6262178309322781,0.8852528666122889,1.6981991744804883,1.5321669545868248,0.32390674408485903,2.5980254065539916
NCI-H441,-0.0954700567925738,2.175040042505904,0.9295291274821528,1.478810067966291,0.10933371058889182,-0.6370666874579316,1.1475339848420665,1.0207777708821488,0.9186329487098114,1.793891668134588,0.4540170663374048,0.8731807773948175,1.9643877781942949,1.943425741664863,0.3144126054374196,1.201705031227456,1.5494264283228292,1.8377246092711197,0.5811648210459586,-0.4397669352422957,1.2199234670319488,2.1252408681747634,0.7552899279971911,1.5397218923029774,1.5904585681502637,1.2799634617651299,1.225647024995499,0.5417148595843189,1.14861347070641,1.1813155183086788,0.5542631800378182,2.603451026711193
NCI-H358,-0.5574359126375724,1.8195309276491287,1.0890846981362128,0.4705003225448437,-0.4605597266232903,-0.7227208226295616,0.5448144703890525,0.4579907153245585,0.6725427875470383,1.2475369741713287,-0.26268274080759096,1.1036533805105122,1.8250269947153088,1.6034529748962398,-0.2036700698801096,0.1632648433186885,-0.1294439096885532,1.0089392378623363,-0.25633386417570314,-0.6851976220168289,-0.12113891861813846,1.127758035381614,0.2744072560254271,1.5696695742179485,0.3421498265306773,0.477892411264029,1.3572092154934157,0.21778796572859835,0.586946256704224,0.0891274686996769,-0.6496748492117366,2.2978914017303818
LS-411N,-0.09944513420297614,1.4955417867962364,1.5005681115405265,1.4571724581217542,-0.2126422272374018,-0.5294424489570269,0.9990640865450938,0.7833441746031562,0.9911240697055144,1.7615051146623888,-0.06566890344360131,1.492266641240077,1.7811049709331732,2.0456049589222958,-0.06798920130253418,0.7274749241053424,0.5307259028648332,1.722526964976434,0.04838360688350153,-0.4892206814682009,0.413412595921575,2.1974628298345014,0.3845349255242175,1.8891855187371327,1.00371684778924,1.3793173758360195,0.8824221982802328,0.9929957467899608,1.1081632652855888,0.9055804344590918,0.2987975296494201,2.297085171339828
NCI-H2452,-0.06690378635928113,1.4692400088326083,1.506044329126769,1.3242746419597136,0.35799866320856805,-0.6879851955250512,0.9360419067499892,1.2987787579113246,1.0402671684417149,1.8647678340090812,0.1842277185400475,0.4403363370074608,1.9721489933458611,2.655950770881433,-0.3846998861531669,0.5473183149838909,0.9476218404797632,1.8584400084425443,0.5250566749722567,-0.473808581908449,0.7452409813844609,1.8234142536553892,0.8495820238223613,2.2093545941120616,1.7141824406760855,1.3302321507477322,1.5990451953345646,0.7126163981600349,1.479805031873076,1.5083118647854832,0.17561472928414815,2.672456224225308
UACC-257,-0.6508362904483559,1.943287067098569,1.495339141827421,1.2754412014472862,0.2179795102100599,-0.7639971025225335,1.4571056694905264,1.2333129839965342,1.2820393131286445,1.5305807486277634,-0.32578385345180777,1.0557564750289978,2.2169544307390234,2.857368542701675,0.3345990918685637,1.1827680767961253,0.9162724268769088,1.9353930788946443,0.09403053621716544,-0.3644980528837366,0.7766209056408893,1.8402430211859928,0.7885541008026279,2.067934832372869,1.9481478637409817,1.2670086965938676,-0.29088075499243915,1.1428205614200402,1.675742713137719,0.5044083995455645,0.9308098095736388,2.0794636497913115
H2369,-0.39250551758099395,2.028899805185906,1.3651919407982136,0.6086746116072795,0.26575706583385394,-0.8873988558957691,0.8188085141236627,0.5126293831729841,0.6077244439340662,1.7329139071438615,-0.046823093548086905,0.493762396333441,1.7632398799184217,1.7854425090061026,-0.5889938489063395,-0.0720014340954324,-0.06432797121452431,0.8236248821708019,0.13072271367168808,-0.7041534412782363,-0.10966427290359068,0.9086207492657844,0.15227098869216255,2.149262953736525,1.0889635614669289,0.9687829919872504,1.2710226065882946,-0.4478894193229226,0.8361775715963246,0.32870370959638384,-0.7779544624489163,2.4241332516866736
H2804,-0.3539980938194692,1.8610285596623268,2.020396965441381,1.1829158370437591,0.587906195736806,-0.6362398627787821,1.3902257790680779,1.1252294694944025,1.0999253916431375,1.7309133524125009,0.027979003325879263,1.1422456544031834,1.8013787716625285,2.646052977127297,-0.017367389113900268,1.3338908886260163,0.2772738795802428,1.9768546012792099,0.2870337613625445,-0.4306111831946096,0.7231615892238346,2.0735881835163115,0.8250600963735537,2.0292232730902744,1.5017591462209876,1.8236698532440048,0.8059191262126896,1.0048404527574577,1.5830896566233104,1.95017678858412,0.6356402110642742,2.161877389071724
