,NEIL2,MPG,SMUG1,XRCC1,POLE4,HMGB1,POLE3,MBD4,OGG1,UNG,POLD3,PCNA,NEIL1,POLE2,PARP4,PARP3,PARP2,POLB,APEX1,POLL,POLD1,POLD2,POLE,NEIL3,TDG,APEX2,LIG3,HMGB1P1,NTHL1,LIG1,MUTYH,PARP1
CAL-120,-0.17864238925337603,1.6963023305380478,0.639458736453397,0.19505651752946815,1.68126951314623,1.0005762777553024,1.4134149077244071,1.06132672663688,-0.17160729363956226,1.3619454393974522,0.2794865654048187,2.2210528841453128,-0.4730584089879279,1.1865700769159089,-0.4350497579197369,0.3299713830712315,1.2923083068576733,2.6011522963581117,2.4874367791893337,-0.5378728341860659,0.5601650527890042,1.9112280906768018,1.2575569384115923,0.3969200371931375,-0.5560419241181355,0.23540158762041705,-0.4481745972049999,-0.6616827424975571,-0.14780410289299414,0.11627190980426415,-0.2756823379209009,1.0494107776281003
ETK-1,-0.1509609663791394,1.4152704315728148,0.729811950578731,0.3034343677116208,2.082306924671664,1.398445834326389,1.4964947328845473,0.8231349231465555,-0.2632788366952018,1.4995061940907897,0.1454888575075268,2.815779264296774,-0.1742204456558204,1.0618507901637857,-0.455339670633831,0.15223099442939667,1.4732997259431069,1.6627875151488087,2.578091602633197,-0.5182210169812953,0.6063644858559535,2.180602164052736,1.5298551211744589,0.8599053168698259,-0.5989962283981987,0.4367324335204257,-0.18870440864975951,-0.4911748075771039,-0.008272157889877771,0.3943496185082161,0.09505891063115887,1.3881045824616107
H2731,0.17030138561485753,1.7232517298041676,0.2523426717374945,0.2700827259050709,2.451598337168035,1.5619701347700263,2.0026569952284508,1.417716370333126,-0.14243212993191598,1.5848519263522731,0.27341813941076376,2.5889564770608513,-0.6632713557145782,0.7012412892476275,-0.4724905482025357,-0.6816113956246591,1.3555259084081392,1.7587418612512893,2.5182856690648943,-0.6744626168756811,0.6988182030871385,2.5342575827395053,1.5905687973603235,1.380087175169748,-0.6133742151463448,-0.17667708909549415,-0.23899769169538054,-0.5018808787101654,-0.2888519211917951,0.32390674408485903,0.0680733245901804,1.0668346303548382
NCI-H441,0.1191056588519422,1.558507996020815,0.4873405980516238,-0.07622513919878976,2.175040042505904,1.280691525692147,0.9295291274821528,1.586437064069255,-0.3236858978814985,1.8064272318453145,0.4540170663374048,1.943425741664863,-0.7147201241836516,1.5494264283228292,-0.3102207249477684,0.11097399885925874,1.5141406688351404,2.218314588125553,2.6652858697707997,-0.5976674093234992,0.7552899279971911,1.5397218923029774,1.2799634617651299,0.8318367415865671,-0.5147416595923788,0.3603098204585785,-0.28276004858178644,-0.6024096005042116,0.23852396570283085,0.5542631800378182,-0.14999795524145304,1.04654097037047
NCI-H358,-0.1921074417660672,1.275738861948413,0.520322348335633,0.09981963555451026,1.8195309276491287,1.510322994196817,1.0890846981362128,1.3873060613426744,-0.4088568668326473,1.138965718459894,-0.26268274080759096,1.6034529748962398,-0.3399357822336524,-0.1294439096885532,-0.30314832467179426,-0.2073982603846643,1.239388215628466,1.720372881905493,2.6775441487864704,-0.6531963086519789,0.2744072560254271,1.5696695742179485,0.477892411264029,-0.3156236513231181,-0.4794210390382293,-0.15108766763039952,-0.47440048677985996,-0.5783268591646175,0.1264468089792672,-0.6496748492117366,0.027089443502417675,0.5083267294369926
LS-411N,0.6656874090977833,1.4449652412162568,0.8429876379064036,-0.014376656854519743,1.4955417867962364,1.9135568507034988,1.5005681115405265,1.2742712163897152,-0.2884993393868853,1.5200819014523923,-0.06566890344360131,2.0456049589222958,0.5515122059008459,0.5307259028648332,-0.2622351421600671,0.4866564411272296,1.1962515268114644,1.3835239766920473,2.796767166712701,-0.4804949787823994,0.3845349255242175,1.8891855187371327,1.3793173758360195,0.2811593189457674,-0.4086534816733093,0.1288121085813952,-0.1529839165358694,-0.5287522234200052,-0.29521661356040363,0.2987975296494201,0.7473646634586523,0.8041350543924622
NCI-H2452,0.002133437935018031,1.9512281401981784,0.1502315576832209,-0.12442118144008328,1.4692400088326083,1.8606643816082442,1.506044329126769,1.2033175500378197,-0.34052529309092155,1.4979661684367274,0.1842277185400475,2.655950770881433,-0.5343580051995646,0.9476218404797632,-0.26185827458287625,0.5096672478634936,1.0484701625849686,1.0324218038722826,2.2594841994135306,-0.538404397791213,0.8495820238223613,2.2093545941120616,1.3302321507477322,0.4631796414324169,-0.4841221788475586,0.06531456642658379,-0.39209590293273705,-0.8093567709814813,-0.5332324484114073,0.17561472928414815,0.2009784072658992,0.8797817841882929
UACC-257,0.14016554165461326,2.084817598292231,0.9922603090571664,0.520821556555502,1.943287067098569,1.5853339439657474,1.495339141827421,0.8831336221356577,-0.2606398357401708,1.5998555833487091,-0.32578385345180777,2.857368542701675,-0.3902423702938723,0.9162724268769088,-0.4611378339894769,0.0972630533875281,1.0813963171578251,1.586264845261342,2.6598575208588544,-0.6365274815297335,0.7885541008026279,2.067934832372869,1.2670086965938676,0.2423302333388384,-0.3631828240950046,0.17906583278923155,-0.2001666879931757,-0.5430691156250668,0.007376119649766891,0.9308098095736388,0.3823890720025545,1.2148129030211972
H2369,0.049358718605227385,1.6867881083432426,0.4700108576724926,-0.2460242323741377,2.028899805185906,0.7567942787974606,1.3651919407982136,1.3945367526870187,-0.4641690888624619,1.6208055755071276,-0.046823093548086905,1.7854425090061026,-0.7202254795274474,-0.06432797121452431,-0.4603452324992282,0.13586204088747958,1.2826227001178536,1.7918653766612318,1.8539910178495185,-0.4936851054670176,0.15227098869216255,2.149262953736525,0.9687829919872504,-0.17145496438976798,-0.039637173175678185,-0.01737827601894201,-0.4142097508312869,-0.7059398464640569,-0.351128079500099,-0.7779544624489163,-0.1348428273119085,0.26103578554848883
H2804,0.20431421079437928,2.154661311777175,0.5912080296796569,0.1571339164136927,1.8610285596623268,1.2352645773141786,2.020396965441381,1.2104914851280142,-0.1636279630001326,1.6555141056634806,0.027979003325879263,2.646052977127297,-0.5512791937460614,0.2772738795802428,-0.4044436063687292,-0.1496926179147191,0.9559135728112386,1.3774287601903652,2.257209268390516,-0.5916780090599902,0.8250600963735537,2.0292232730902744,1.8236698532440048,0.6358302299523714,-0.4218281484830386,0.22459143627003844,-0.2983815162290072,-0.6952855832569625,-0.127118061400364,0.6356402110642742,-0.23182711047243024,1.4726896473718425
