,POLE4,ERCC4,POLE3,ERCC3,ERCC6,ERCC5,ERCC2,RFC4,CETN2,RFC5,RPA1,RAD23B,RBX1,DDB2,RPA3,POLD3,RPA2,RAD23A,PCNA,DDB1,POLE2,ERCC1,POLD1,POLD2,POLE,RFC1,RFC3,RFC2,XPC,XPA,GTF2H1,CDK7,LIG1,CUL4A,CUL4B,ERCC8,CCNH,GTF2H3
CAL-120,1.68126951314623,-0.5914315016365884,1.4134149077244071,0.04094297667317082,0.20601735064815768,0.2217916102857904,0.6758158846614013,-0.5916932780655894,2.658038607995617,1.0147855985279524,1.020574658283414,1.5727174938911583,2.2410195517460654,0.3544158540550179,1.960021238777512,0.2794865654048187,1.9092222001409955,1.7930258086561237,2.2210528841453128,1.0072577781641177,1.1865700769159089,2.0812444028832093,0.5601650527890042,1.9112280906768018,1.2575569384115923,1.3091484808782592,0.5965246134377102,1.0533230208413402,1.0111151894161523,0.2897343537481713,1.5639136848270492,2.7410706226007813,0.11627190980426415,1.462239476693843,1.9644479382686515,0.4259078832722644,2.261936788766537,-0.05011082770694
ETK-1,2.082306924671664,-0.7286315962658061,1.4964947328845473,0.09221674959700607,-0.17838972297017242,0.14254314935523252,-0.3742665354727707,-0.6769521194895549,2.3202299638752697,1.2010435071484638,1.1287798925461967,1.655993304700394,2.418080734146837,0.4674159685787304,2.0678420530225954,0.1454888575075268,1.5098909145958723,1.83813408336898,2.815779264296774,1.002419483652875,1.0618507901637857,1.3055290981071883,0.6063644858559535,2.180602164052736,1.5298551211744589,0.622425082484521,0.5683142177436731,1.866551072465817,0.5811333699874419,-0.025978794103422097,1.2138325340217653,1.9422262221977464,0.3943496185082161,0.8635291118318524,1.1070861277206123,-0.05196654967279982,1.1865335076209365,-0.05320392193232324
H2731,2.451598337168035,-0.4680879858866142,2.0026569952284508,0.37247975153280577,-0.4612059982768191,0.3740329198474927,-0.011797214926922466,-0.4257572143664454,2.1729617432835937,1.3704343139565252,1.1354050420239363,1.9484008661586167,2.444264047020676,0.25765518136108084,2.080264904519188,0.27341813941076376,2.060943079904546,2.1508518290438428,2.5889564770608513,0.7424316467234011,0.7012412892476275,1.4575315913039109,0.6988182030871385,2.5342575827395053,1.5905687973603235,1.6262178309322781,0.8852528666122889,1.6981991744804883,0.928482338269152,0.4825408537196975,1.8048659365074369,2.4753843878654878,0.32390674408485903,1.7951531028869454,1.501835992858896,0.8026223889746052,2.3932840764413936,0.046502080138497805
NCI-H441,2.175040042505904,-0.6956799907064388,0.9295291274821528,0.014465751289176713,-0.4406094883215193,0.5277487800839135,-0.2839843407278957,-0.6370666874579316,2.3329700128407915,1.1475339848420665,1.0207777708821488,1.6780341526950702,2.399272948703107,0.3663246539272485,1.793891668134588,0.4540170663374048,1.9643877781942949,1.7397177261118502,1.943425741664863,0.6980676357716903,1.5494264283228292,1.2845036972119177,0.7552899279971911,1.5397218923029774,1.2799634617651299,1.225647024995499,0.5417148595843189,1.14861347070641,0.5132094210484366,0.21817269307021075,1.0376728985761248,1.9447057363657556,0.5542631800378182,1.37107788643169,1.1164873720980788,0.218334088230781,1.1681298204438706,-0.019507757497938125
NCI-H358,1.8195309276491287,-0.5280186836947776,1.0890846981362128,0.27683775047318554,-0.4710881498209187,0.6059187311204983,-0.2130516938398996,-0.7227208226295616,1.376085934837203,0.5448144703890525,0.4579907153245585,2.112820892909024,1.8991014939027375,0.16442720129162555,1.2475369741713287,-0.26268274080759096,1.8250269947153088,1.7602117987898218,1.6034529748962398,0.6872716302013611,-0.1294439096885532,1.394549369159658,0.2744072560254271,1.5696695742179485,0.477892411264029,1.3572092154934157,0.21778796572859835,0.586946256704224,0.6719892063747283,0.3319502451902701,1.10363936373335,2.1253751344468235,-0.6496748492117366,1.2886918596185546,0.8597256259985759,0.16108649249406062,1.5604557341169094,0.2125299725636155
LS-411N,1.4955417867962364,-0.7297173624630235,1.5005681115405265,0.0430982119164458,-0.11830577545827654,0.7142946777976054,-0.4594577385316685,-0.5294424489570269,2.1957779183164168,0.9990640865450938,0.7833441746031562,1.6100857908585522,2.1390982107228984,0.4406241186570414,1.7615051146623888,-0.06566890344360131,1.7811049709331732,1.965289683548455,2.0456049589222958,0.5267660716869064,0.5307259028648332,1.4267521781844126,0.3845349255242175,1.8891855187371327,1.3793173758360195,0.8824221982802328,0.9929957467899608,1.1081632652855888,0.8477903273553693,0.14582002387709078,1.2219177123581622,2.404430289729356,0.2987975296494201,1.7300110506283581,0.5050403158237526,0.2347040777451182,1.3433660812217398,0.12260067245917765
NCI-H2452,1.4692400088326083,-0.644137812720592,1.506044329126769,-0.1262947240451477,0.9237389725822164,0.3466486002381714,-0.15658372828220746,-0.6879851955250512,2.3788886665009823,0.9360419067499892,1.2987787579113246,1.9276738356073733,2.2402293640041706,0.6218831601271215,1.8647678340090812,0.1842277185400475,1.9721489933458611,2.061775159783563,2.655950770881433,0.7338370485623482,0.9476218404797632,1.117126399748514,0.8495820238223613,2.2093545941120616,1.3302321507477322,1.5990451953345646,0.7126163981600349,1.479805031873076,0.5314205855449563,0.5028636389372532,1.9577645749209456,2.6625456286391245,0.17561472928414815,1.198420786761635,1.494351118138327,0.4894892856673458,1.951461353104124,0.09028843956160999
UACC-257,1.943287067098569,-0.6255448539530762,1.495339141827421,0.3253905358069992,-0.7051937978742644,-0.11253369694356677,-0.2588639310328835,-0.7639971025225335,1.8025010259165544,1.4571056694905264,1.2333129839965342,1.614236075732721,2.3362653719729964,1.3482196360554728,1.5305807486277634,-0.32578385345180777,2.2169544307390234,2.087958226588031,2.857368542701675,0.8777042371738057,0.9162724268769088,2.138557226389868,0.7885541008026279,2.067934832372869,1.2670086965938676,-0.29088075499243915,1.1428205614200402,1.675742713137719,0.6811911768164536,-0.2427658950370153,1.5742142081561707,1.5577411055761932,0.9308098095736388,1.5767076028905165,0.5620806486939278,0.1857766505903252,1.714474369580012,-0.30254945081118984
H2369,2.028899805185906,-0.4705192202298327,1.3651919407982136,0.01714726435283595,-0.37937025700875016,0.22928268339848254,-0.4397577267438579,-0.8873988558957691,2.073232015751056,0.8188085141236627,0.5126293831729841,1.89215082521557,1.9776254064718133,1.2289981041893752,1.7329139071438615,-0.046823093548086905,1.7632398799184217,2.1656712733534693,1.7854425090061026,0.6673155074163052,-0.06432797121452431,0.7973077180867392,0.15227098869216255,2.149262953736525,0.9687829919872504,1.2710226065882946,-0.4478894193229226,0.8361775715963246,1.2181863728763147,0.2787316766300603,1.8868110968731784,2.5593214377879163,-0.7779544624489163,1.2333905526745397,1.1574488048765477,0.4353105799527405,1.4746689732171032,0.6498701348333867
H2804,1.8610285596623268,-0.4593174855400797,2.020396965441381,0.27004686145083,-0.2187688367457724,0.37804733581821776,-0.2483364914085789,-0.6362398627787821,2.1565139982320143,1.3902257790680779,1.1252294694944025,1.996552290819376,2.3523173411244045,0.33955509425573505,1.7309133524125009,0.027979003325879263,1.8013787716625285,1.8054572900862047,2.646052977127297,0.7961470665699178,0.2772738795802428,1.3725652558063015,0.8250600963735537,2.0292232730902744,1.8236698532440048,0.8059191262126896,1.0048404527574577,1.5830896566233104,0.6803358118630574,0.6146120798214372,1.851338297534216,2.438888707495524,0.6356402110642742,1.6733121256530232,0.8337388150208119,0.2704685030522164,1.4603674915839826,0.2251076460453889
