,RAD54L,XRCC3,RAD51B,NBN,RAD52,RAD51D,XRCC2,BLM,EME1,RPA1,RAD51,POLD3,RAD50,RPA3,RPA2,RAD51C,POLD1,POLD2,MUS81,TOP3A,RAD54B,TOP3B,SSBP1
CAL-120,0.4438708111989193,-0.7525556970753658,-0.7503165090117156,1.2192801333910734,-0.4676563587655833,-0.4699112943395758,-0.5190939331070232,1.109128530384329,0.8207150193190391,1.020574658283414,0.5292593604789191,0.2794865654048187,0.9077132224595892,1.960021238777512,1.9092222001409955,0.9872535896725054,0.5601650527890042,1.9112280906768018,1.2904608490318674,-0.4950746321647187,1.2455576589788913,-0.8537799584048043,2.482868472658911
ETK-1,0.7335167252744071,-0.6045435769575823,-0.6419547030418153,1.0415439991401032,-0.7166043241589414,-0.3729771370016339,-0.5915139256399897,0.7504080939942127,0.7732130398621888,1.1287798925461967,0.9811138675506904,0.1454888575075268,0.1655939840277542,2.0678420530225954,1.5098909145958723,1.2096166372602155,0.6063644858559535,2.180602164052736,1.466438379282914,-0.10799220096777036,0.9342865213035856,-0.6940186278707667,2.575062091929297
H2731,0.7581040600680957,-0.7389990057095513,-0.5943079224584717,0.8845360418212974,-0.6047336808317938,-0.22321514129153894,-0.4311186770874837,1.0892786802830003,1.083639577082563,1.1354050420239363,0.7981015611623247,0.27341813941076376,0.105808297347177,2.080264904519188,2.060943079904546,1.5755501385065531,0.6988182030871385,2.5342575827395053,1.037284226923602,-0.3963749988651882,0.7779215530881637,-0.7741469661206662,2.5980254065539916
NCI-H441,0.7108687850735609,-0.7297759136449541,-0.7232564386704401,1.1187175393772408,-0.4287298984076777,-0.3750063063027834,-0.17703671384491745,1.3804058122466087,1.0281523096922858,1.0207777708821488,0.7216221986982579,0.4540170663374048,0.2457769817166849,1.793891668134588,1.9643877781942949,1.0598325170009546,0.7552899279971911,1.5397218923029774,1.6082558195448722,-0.3743249397102965,1.1843649869663384,-0.6638485289563492,2.603451026711193
NCI-H358,-0.629772148258661,-0.811933825352675,-0.7261666282064951,1.4998841811982817,-0.7196704999798212,-0.6225095483972988,-0.7236039629904817,0.058243839164536126,0.27992873845664146,0.4579907153245585,-0.484575208441077,-0.26268274080759096,0.914898434182491,1.2475369741713287,1.8250269947153088,1.2040838179893714,0.2744072560254271,1.5696695742179485,1.5965449963110123,-0.5503885126614608,0.5454104397086093,-0.7040488618059013,2.2978914017303818
LS-411N,0.2833347249705476,-0.6757745311435679,-0.5665125091349875,1.0152771925434447,-0.2678878981046697,-0.02470871671544977,-0.5756911601194278,1.1692644397713987,0.7697209158701637,0.7833441746031562,0.9065083210196272,-0.06566890344360131,1.1263969005876626,1.7615051146623888,1.7811049709331732,0.9958508094641084,0.3845349255242175,1.8891855187371327,1.3514685413605636,-0.2250969180435977,1.5471469690072852,-0.7252033626635418,2.297085171339828
NCI-H2452,0.5626608276064468,-0.8411600682916832,-0.4012961047965525,0.5904236242171589,-0.2961062057012053,-0.42251158724572174,-0.4761656066061361,0.9877421308179968,0.9322667095770552,1.2987787579113246,1.085488841915201,0.1842277185400475,1.4568232622001358,1.8647678340090812,1.9721489933458611,0.8865221041917536,0.8495820238223613,2.2093545941120616,1.1375016267683742,-0.529514186613416,0.7048106406872805,-0.6910643880152251,2.672456224225308
UACC-257,0.6682120144328583,-0.8606149955543095,-0.5391759494278822,0.13989608787582222,-0.6486810742841788,-0.3422011872498236,-0.5049742526266774,0.9659013243419702,0.8223693131687918,1.2333129839965342,0.7164585159290653,-0.32578385345180777,-0.7565142194789404,1.5305807486277634,2.2169544307390234,1.168773210609373,0.7885541008026279,2.067934832372869,1.1361590466699725,-0.023849674003922124,0.9966697986066224,-0.7367297182743522,2.0794636497913115
H2369,-0.3713134550318646,-0.6734492694614871,-0.8133921124788219,0.9225478829773196,-0.3528132083511176,-0.7391649578462922,-0.6161358470479472,-0.20486633251262973,0.31564614476171216,0.5126293831729841,-0.4865032636958805,-0.046823093548086905,1.1568857606685332,1.7329139071438615,1.7632398799184217,1.2539422739001538,0.15227098869216255,2.149262953736525,1.1307508684900824,-0.6736052235341803,0.4199086184784023,-0.657279166487286,2.4241332516866736
H2804,0.6944702905204165,-0.6484874774423518,-0.7307942940036883,1.020002833112903,-0.6467912907979511,-0.29806444278067035,-0.10664653887492408,0.6540089806177523,0.8558847201220119,1.1252294694944025,0.8329712314484938,0.027979003325879263,0.3269889395292089,1.7309133524125009,1.8013787716625285,0.803672585314806,0.8250600963735537,2.0292232730902744,1.0577300478063247,-0.3055071336154043,1.0453960199705614,-0.7397262796389232,2.161877389071724
