,JUN,SOS2,PAK3,RAF1,PRKCB,BTC,SHC1,PRKCA,ELK1,NRG1,PAK2,MTOR,PAK4,MAP2K4,EIF4EBP1,BAD,PRKCG,NRG3,MAPK9,ERBB4,MAPK10,PTK2,ERBB2,ERBB3,MAP2K2,TGFA,BRAF,MAP2K1,MAP2K7,ABL1,NRG2,AKT1,ABL2,AKT2,SHC4,RPS6KB1,RPS6KB2,AKT3,NRAS,GRB2,STAT5B,MAPK3,STAT5A,PAK6,SOS1,MYC,MAPK1,PIK3R5,NRG4,HRAS,MAPK8,EGFR,GSK3B,CBLB,KRAS,CBL,SHC3,CDKN1B,EGF,EREG,ARAF,NCK2,SRC,PIK3R3,CAMK2A,CAMK2B,CAMK2D,CAMK2G,PAK1,CBLC,CRK,PIK3CA,PIK3CB,CRKL,PIK3CD,GAB1,PLCG1,PLCG2,SHC2,HBEGF,PIK3CG,PIK3R1,PIK3R2
CAL-120,1.3389142205771671,-0.06812203037807682,-0.7304950750723996,0.9048466647021476,-0.8598842831717439,-0.7982488365827539,1.384415510316917,-0.245701092160002,-0.6394870911434297,0.5895967424653249,0.9213121097547208,0.10579987820560988,-0.12155521451848955,0.4093350893851053,2.8295765848030454,1.2055133346730489,-0.7831122737775845,-0.667382192113568,0.41549824167551397,-0.7694508923038713,-0.7725418357065711,0.2488854825153072,-0.4455560067802904,-0.6138678611651819,1.9428200748275049,-0.6092177031557223,-0.5979925924579317,1.5889586870449508,-0.1552367558147919,-0.15530134899420264,-0.8167618346535742,-0.19985279400177544,0.3113715271268944,-0.4819424240854727,-0.9455390425309581,0.3613185847840465,-0.06629373241745093,0.4364324540353784,1.5867513847782557,1.7384334665473555,-0.5456975676340988,0.6544469534894845,-0.5702219753386879,-0.8331475454247408,0.6091940496088567,3.104120229567743,0.254584764720762,-0.7875557925705607,-0.8277789036165549,1.082836190327067,0.05289881033707378,0.008159790899920201,1.7731053026965045,-0.7518697350517393,0.8623239999845511,0.035458504957043176,-0.4560943898241128,1.5645698709726297,-0.8722352166658497,-0.8728262200557141,0.03481131212472676,-0.4773167180254265,-0.2965019099885951,-0.6406907280038789,-0.8004982694445578,-0.6898434653353636,0.9195781581055524,0.090934095605866,1.0102063425283123,-0.6476218357319871,0.7979921047794792,0.9873660513528476,0.534576748726534,0.09804416612816104,-0.7809640560641528,-0.571091289224556,-0.07873698009542318,-0.603285050180305,-0.8061604219903434,0.7999964585955616,-0.8524172464873309,-0.3572494710380825,-0.3426310511824054
ETK-1,1.157234143758783,-0.05867897052132225,-0.7660979048809645,0.7020272276858314,-0.7821007727003433,-0.4488300884340344,1.2437684729621314,-0.39963966733559103,-0.5394757709110359,-0.023973822535094703,0.9614787128876386,0.030525746305379513,-0.2398380516569656,0.739484350313902,1.9068952635097345,1.2912509513870336,-0.7505054316116957,-0.9398714716913364,0.23252535614873684,-0.814358608261885,-0.6866703641770378,0.8367529884552836,-0.25692367572956565,0.06833979164003333,1.5809167664755956,-0.043790490134786766,0.42995935860563744,2.02799378906126,-0.1904125277207122,0.11491796000585375,-0.8491822144599624,0.1266592331092139,0.21704803869289904,-0.5886272683587355,-0.901749551777286,0.13359398314234994,0.15068802743514942,-0.5448795531082345,1.9604995952736224,1.965573307595224,-0.3387647363508943,1.1182205197694308,-0.3559293290429037,-0.4827274694914668,0.4710837889353912,2.12334269141489,0.3975693338555972,-0.8197989690348624,-0.09535510830887074,1.1893851867654288,-0.06189087109587045,0.2563703512622036,1.6941852764365664,-0.43609549026834415,0.6590952429722751,-0.07055262391037664,-0.16653369416313604,1.3630065138815064,-0.6102830971753345,-0.8724250852772162,0.33932625638779457,0.017681036189749602,0.5350129974637066,-0.6417876055405305,-0.8338431907374246,-0.8033817133770927,-0.6078259914787214,0.20931283073934645,1.4563546056245036,-0.8389173821801206,1.2971529474020105,0.4094503601052189,0.037496706500950314,0.11680218111471635,-0.524460852626613,-0.22444702836617345,-0.029395606455651837,-0.02123732492865516,-0.8862449616278733,-0.07441363572294306,-0.8654864209671396,-0.4833683157757574,-0.4050677602198264
H2731,1.2559138119898368,-0.13925938705960852,-0.7377078369659659,1.1135111322846425,-0.7525382834330454,-0.8022151531249124,1.6007288747228885,0.6734231696706534,-0.7171010792227247,-0.015248006761429128,1.39565426432747,0.09506309060407568,-0.06644029577018665,0.4523991510577427,1.9738724136832373,1.3707944327634445,-0.7608390346223795,-0.8765444646066083,0.7054452224023271,-0.7084668615713348,-0.7601163252707807,-0.14305821040784336,-0.3953780678777602,-0.7383180847967703,1.8069608813025064,-0.7014364826271198,-0.7754335933876804,1.3149922194525154,-0.0899817921687686,0.5195856572724936,-0.8017129929922683,-0.15174020943164618,0.8077673201504859,-0.6640179112916704,-0.8433937308274254,0.7095147448011573,-0.12140390871310765,-0.6239843608956496,1.804879139023512,1.7545902111161853,-0.1401897237723378,0.3118671424176911,0.2360184555419203,-0.8361586079845654,0.6304226359503814,2.4070746104530985,0.4667006303610834,-0.8410884136853347,-0.7797096140307861,1.3957190977726834,-0.3113054403255434,0.6375308202159364,1.9537528661579218,0.0047235315137179315,0.4822517483970864,-0.21451117450736334,-0.7010420628433167,1.2022869617884653,-0.6971797055994557,-0.8923700288976669,-0.11617673540724364,-0.3097493917902981,-0.004757062499117007,-0.6443644194844482,-0.8649863141056461,-0.5572428573251605,0.29629168167823383,0.08200331101734623,0.9003502056445528,-0.7948798450124801,1.2942637231828502,0.8594187429000945,0.18336718453373124,0.2565824619940291,-0.37757563301429853,-0.6518194686331498,0.33049680357990585,0.11806006090506055,0.6082979283346723,-0.10872355082969028,-0.8765333670274109,-0.4281227646593607,-0.15702108108980029
NCI-H441,1.1084253561912516,0.5382853286208211,-0.8158333854547989,0.9307471911980078,-0.8297087830459828,0.3580818315868327,1.1289468150030773,-0.3502615548914809,-0.7671151526377017,-0.7363890186799821,1.1392268204816334,-0.1677459181529349,-0.2617762717398143,0.9963293671781348,2.0113246292872944,0.8061616862941123,-0.8452648290987299,-0.9301897957677732,0.6951323573052699,-0.8326219637365185,-0.9083686048427996,0.8909028868620577,-0.19612027036613047,0.32470772065199965,0.9329538478919084,-0.2013946885358129,0.477240781276831,1.8116381417690188,-0.299709854347971,-0.07933140168785939,-0.7911362904484932,-0.26570566958600805,0.1715599161261104,-0.5854985495687144,-0.8318455547347886,0.6905172217716493,-0.10343686768118844,-0.6958193198758809,1.250040047216832,1.5628792001345369,-0.7010317711299326,0.8829574758666384,-0.6515728539950427,-0.1704791068366761,0.8117920748457881,3.0326177589054333,0.6704127006499002,-0.7929647301950058,-0.7864000167602035,0.2209947943117495,-0.32726911965707123,0.057695025742484585,1.6279067943078682,-0.6242072836078155,1.3593939234001158,0.01809622778413304,-0.8268658328470216,1.4274475571806546,-0.5008271989965674,1.712825688245897,-0.1939819066756263,-0.20220373219040685,-0.14840273821591876,-0.4713064903986299,-0.8230153353604464,-0.7957941677267765,0.9436775312534142,0.15204373682864664,2.0537653184133853,-0.3161779243619101,1.1739605119221528,1.2268652508596756,0.3785433051934744,0.3845230929743015,-0.5048386655437213,-0.3254867544481281,-0.09686169429772952,-0.4323241623917872,-0.6268669200626428,-0.09243211402452196,-0.933630609859046,-0.07774390743676543,-0.28451003525850943
NCI-H358,0.8893831080119279,0.4434159208745114,-0.8860833857030816,0.6072135995516039,-0.8365145975712129,-0.4129915288816824,1.5266170909565202,0.22820352238433414,-0.6722617751732683,-0.5418887991508363,0.6793553170149684,-0.18179447286972125,-0.018003303119903263,0.7039883073040333,2.5769456182139048,0.8463306973738598,-0.7894832640413467,-0.9222592158802684,0.9786930455857376,-0.8078933590822917,-0.6928921167528485,1.1068930622481368,-0.276615071993994,-0.06756471412393375,1.082929831298524,0.028263105887126893,0.047892795948571314,1.9452322977593564,-0.2746561013489696,0.3566484798380913,-0.7840449957995642,-0.05201802325830348,0.4040746633005673,-0.4248105610331739,-0.8678750664705567,0.9584815997677794,-0.016874728128771672,-0.7232608504086048,1.4746253607378723,1.8717155328633968,-0.4336123999064837,0.5908614322155727,-0.7055658087258647,-0.2988441432999552,0.925976895938038,2.640094624338945,0.30552863757628834,-0.8003529130190858,-0.7595682980108911,-0.039190101288340655,-0.3425528615569144,-0.4671022082327077,1.8301107859906025,-0.2707785419272598,1.707660961932456,-0.2405413305834277,0.10984607718044552,0.9549986480446312,-0.5921741610461079,0.7080956517245208,-0.014021040959124124,-0.7090200746900559,-0.3916242677527833,-0.2453339387280799,-0.8447945012530612,-0.7985102390812708,1.1990658993820391,0.03078300906271989,1.7739665550828314,0.3314665511178881,0.7239960239794366,0.8113056012150509,0.2604488947523818,0.2433781900109811,-0.65216438457763,-0.2711736729825566,-0.3251140594548515,-0.15695661910805933,-0.6487253564001371,0.1004237049557479,-0.8715621277889629,0.4416383048174035,-0.3759062541623136
LS-411N,1.0827573198127212,0.15373766511871415,-0.7954642199004556,0.6534312803956329,-0.8145502558515936,0.08840228221655355,0.6962083438529619,-0.08130942838191382,-0.5284793988929927,-0.7158625559875106,1.025005430772231,0.042960892671571375,-0.3434267164368792,0.6888125939785422,2.086368659222855,0.6420848311174606,-0.7835736997112148,-0.9768647887099948,0.4134818691378309,-0.8597178160923453,-0.8276983363413841,0.5597384926940134,-0.2018838250976802,0.029618460154389275,1.3183433692471571,-0.3314921626836824,-0.08196609676428873,1.8648442801490044,-0.2443155443594405,0.37297209217774935,-0.7891059619210263,-0.24251542886789626,-0.1574798853700413,-0.6497916729249831,-0.8795474454462099,0.5501986175949979,-0.3129192594756962,-0.8267961689333675,1.3307944797542282,1.5186990991164293,-0.390602572483489,0.4836942612484981,0.03562052992751883,-0.22978207953829502,0.6872106998083425,3.256922672688148,0.5281396400601249,-0.7380098373948586,-0.8301611058761817,0.7081041907948731,-0.05129340966893639,-0.4244668666716426,1.991497971604648,-0.7878545278484386,0.8977517412016167,-0.211393297478396,-0.8137150589490431,1.6841549826358426,-0.9439667272281176,-0.911013220354515,0.08203770334224564,-0.1447463390615654,-0.16964189192464293,-0.7207817579785165,-0.7724675179587096,-0.8460535006733209,0.6949287644584758,0.16783838584763744,1.3849160999203998,0.21292809735520465,1.2661433626221472,0.8412287390884277,0.23400217589226124,0.21189318375647168,-0.8168373886640627,-0.5604279556140229,-0.35371910956130226,-0.5580807539549724,0.6414996457213951,0.2967395290451009,-0.8488851561535736,0.3625898147259357,-0.315113364159437
NCI-H2452,1.7445679526912046,-0.2112724762202742,-0.7218517315163259,0.30033039646165405,-0.8497532105166448,-0.7853748339957651,1.6088050904095466,0.10019246927535053,-0.597080599970948,-0.3615923083691854,1.37862226011994,0.1000301686244262,-0.29986578290691657,0.5085430982462517,2.549781904090624,1.373646937202287,-0.783535283218563,-0.8939856090683925,0.5452651818438474,-0.7964612411525579,-0.968519916012312,0.34923292837157444,-0.5207790630635061,-0.8579045898897762,1.4594221269364345,-0.7444210178542818,-0.3329735262677015,1.7385066518646413,-0.12598229925874915,0.4648295992891375,-0.7630833681593137,-0.2078611696528301,0.6594279821427793,-0.6172414110572932,-0.8826182784178215,0.4517109810611117,-0.1366643626530173,-0.3753643941962525,1.1393357611865211,1.240538159782116,-0.3721415018933096,0.3383250667796434,0.3763542206489276,-0.7700389876256936,0.7666650003646698,2.8030084903483057,0.5485088606794144,-0.7810246909336291,-0.7319417131767568,1.1931770656516067,-0.3579664114752496,0.5173674517898647,1.5664204256900591,-0.5704238466382412,0.5879673768544635,-0.12470389650945506,-0.8241500183527456,1.2754745323864716,-0.7510076481491545,-0.8445791614824063,0.13900441631942434,-0.4362350243710131,0.1627791346669145,-0.6865469766465245,-0.6207253368030587,-0.7575682245033781,0.5390059237100548,0.21101102242604425,0.9199233291909608,-0.8270576803164958,1.3458861051724025,1.1604717518938303,0.17486977984787494,0.4837045078030308,-0.4429466925798285,-0.611934818734984,0.4012792702266202,-0.2834564089912421,1.0402190646601688,-0.2348352205985034,-0.8109860852430577,-0.1596184972839978,-0.314793690336176
UACC-257,0.5451933933526479,-0.2334447129826095,-0.17042852471092387,0.4626853245173175,-0.6537941516128597,-0.7146221614611138,1.2864079569513491,-0.5030246240113396,-0.522259793288277,-0.7320338783608441,0.913290257157792,0.2637950159070584,0.11454419679629844,0.3302303290134198,1.9143366692985904,0.5531892376610587,-0.7315298695396689,-0.16144044266367036,0.19850769147560268,-0.7616833583074876,-0.7810287062332645,0.4776119845113764,-0.4102088832137711,1.0821311164468117,1.6389289008705468,-0.7093764866268463,-0.4590973762124978,1.4920891032672825,-0.10335086254156416,0.1233794726866641,-0.4919736069720439,0.1034372484054456,0.9424063374603407,-0.4156948757425929,0.8250011018716646,0.09815858769069984,-0.17367188494911734,-0.20350358457046905,1.7438123860969132,1.879861540626689,0.03146888883022607,0.4198127773087068,1.080684349402253,-0.8815140424131793,0.4226719388125876,3.042809999428858,0.7572535381033558,-0.6943889672456175,-0.7061191602245678,0.9897057775020668,-0.5715990167442143,-0.6707810977798198,1.7367129533190655,-0.5697170814601688,0.461570293006893,-0.06923089980469563,-0.8638354654376121,1.2241214523527328,-0.6022717291800007,-0.8800916561763878,0.17370790712272907,0.7882155336401769,-0.19576820824959795,0.27933463228855104,-0.6916073111439359,-0.7923150064044164,-0.3189395196963855,-0.4358507266623245,0.921991485384723,-0.9296167142805256,1.283357532549514,0.3312185599443601,0.6625406578276586,0.3692635307506239,-0.0535754824600499,-0.5361375926922021,0.531666245914294,0.02431113942042716,-0.06752187141226966,-0.20184808094378826,-0.8888615239730282,-0.1797654584160006,-0.23280851377457995
H2369,1.7376164240157637,-0.000956360756488668,-0.3197864421663483,0.7248507230584516,-0.775919823797341,-0.7192876095530182,1.4825748623278965,-0.32850586303632456,-0.4389318737288495,-0.5794980374153089,1.0520499418506262,0.09366300668730927,-0.4318021128783499,0.43061512465006097,2.422752887655032,1.3117809614958826,-0.7666078629955184,-0.9382604978516168,0.5676509489988268,-0.8334848728142279,-0.7942798885366557,0.7078090008210841,-0.4993333594409674,-0.8181072633147106,1.5689479178731216,-0.5543230743008626,-0.4941771265845692,1.6167083729494922,-0.1601402976591038,0.6492618264655017,-0.7713836066958992,-0.15119158549319922,0.6126334096252605,-0.6524623508563833,-0.8924286775173852,0.5233412598879034,-0.2712225576058132,-0.07910532007774926,1.1337516076882892,1.5561468189968968,0.04796955440241511,0.26262041498512817,0.6890495523319093,-0.8615566456226887,0.6442177574535978,3.1967860125076766,0.3546276216895768,-0.7896764876803988,-0.8125148349069822,0.4120349900412952,-0.31128607220835897,0.6707632770186206,1.9941827456154837,-0.5369162174786543,0.8620638067442004,-0.32873007247821084,1.0313308533972982,0.8881549304038812,-0.7857449848815541,-0.8686443326756046,0.16017014510848818,-0.34528524899321084,-0.21164382369364865,-0.691032607776449,-0.7666587914687972,-0.7406429182335368,0.5954084251627866,-0.1519435446921602,0.9896041808098848,-0.8590895782367001,0.7457703391997339,0.7841199206958448,-0.033848076739364866,0.3703821364416838,-0.37027626072364944,-0.7063328651940389,-0.009231463053394808,-0.24414780742350276,0.1128065176121663,-0.22352438965321805,-0.7936449523991068,-0.3732720210721264,-0.3378489135883645
H2804,1.2720580415498284,-0.5397462460605524,-0.6874380383695315,0.9891072695734257,-0.8288123207029022,-0.629739431889027,2.17717761880366,0.2425843506999755,-0.5915649709090436,-0.32799946649788936,1.0013990016027097,-0.03616029911559057,-0.005473298368855039,0.2700276650542075,2.1653817609324166,1.282542486515042,-0.7279161867896468,-0.8871916884559087,0.9739827351301936,-0.7994516097711125,-0.8679387867631445,0.902740710377961,-0.4187133547404197,-0.864879512695022,1.3963003958057107,-0.7384859181041742,-0.6538816474444307,1.5377013449030346,-0.29233538230442724,0.3108279410952096,-0.8808275797165243,-0.07058561604041526,0.7134071229871903,-0.6048940168676246,-0.8347680323719285,0.5736438157949247,-0.2523304976570964,0.19688997202868425,1.5529699611461252,1.7130625049092376,-0.4364199555989114,0.2628231971577309,-0.2095350242094297,-0.8795152778418334,0.3703928702404378,2.719929996827676,0.13328015511769925,-0.7472125042240992,0.3886713672303999,1.4435399452741482,-0.5772427068055138,-0.07437334620276796,1.7018665374170965,-0.7173079938051704,0.71502459917081,0.06641551766539736,0.6110887016638252,1.2155955611459466,-0.5519043402942154,-0.8876689535060251,0.29881565103818736,-0.33848134695381865,0.6110604195115704,-0.4288977530377384,-0.7856330359540099,-0.6604254215257457,0.7527346594322986,0.19029487929264755,0.6868543476832634,-0.9218817568703579,1.2268007604123328,0.3947720845654773,0.08200578811682839,0.30763713134847603,-0.6854649035487371,-0.7211422648748675,0.3455135412482723,0.990290643900702,-0.09415035323706668,0.15350793125238746,-0.8565138313212369,-0.4312594649685069,-0.27335239188478433
