,PLCB2,CALM2,INPP1,PLCB1,PLCD1,PRKCB,PRKCA,PLCB3,CALM1,PLCB4,DGKZ,INPP5A,DGKE,INPP5B,DGKD,INPP4A,PRKCG,INPPL1,DGKH,INPP5D,SYNJ2,ITPR3,PLCD3,PIKFYVE,IMPA1,IMPA2,PIP5K1A,PIP5K1B,INPP5J,CDS1,INPP5K,SYNJ1,PLCD4,ITPKA,PIK3R5,ITPKB,ITPK1,CDIPT,ITPR1,ITPR2,DGKQ,CDS2,INPP4B,DGKB,DGKG,DGKA,DGKI,PLCE1,CALML5,PIP5K1C,PIK3C3,PIK3C2B,PIK3C2G,PIP4K2A,PIK3C2A,PTEN,PIK3R3,PIP4K2C,IPPK,CALML3,PIK3CA,PIK3CB,PIK3CD,PLCG1,PLCG2,PLCZ1,PI4KB,CALM3,INPP5E,PIK3CG,PIK3R1,OCRL,PIK3R2,CALML6,PI4KA
CAL-120,-0.8410267277913479,3.0529492415243493,0.889634779429625,-0.9952210133063484,-0.5626985240264278,-0.8598842831717439,-0.245701092160002,-0.06710599842684792,2.507628534831807,-0.8247955092132357,1.2648723793785217,0.19418094348963005,-0.6350905032612878,-0.5309591307869004,1.1839863410960032,-0.03649982543757839,-0.7831122737775845,1.036616666539665,-0.7613751599362988,-0.6951110330203739,-0.8009528318665348,-0.030940672691282468,-0.3721037823753815,-0.651494493627456,1.679953314523041,1.5870348672596166,0.07082158020169177,-0.8673905921889747,-0.5281053444532322,-0.0800865016078129,0.061180606447343834,-0.7021839697887201,-0.647432302871853,-0.5748074159755797,-0.7875557925705607,-0.6395621415686297,-0.3851821766043588,0.748007489382948,-0.6956277347833403,-0.8271766077478018,-0.4583063290902564,0.3660838507434248,0.3835266572735555,-0.7914372727293782,-0.8639941672840826,-0.6119879234169148,-0.8862821942362741,-0.5232083059148944,-0.836582235924515,-0.3393912129221969,1.8676421469277495,-0.14630559963337791,-1.0156137707968005,-0.4069083127713878,-0.08204577057837725,1.265501791663064,-0.6406907280038789,2.475552126401203,-0.2411816363027673,-0.7316602047754526,0.9873660513528476,0.534576748726534,-0.7809640560641528,-0.07873698009542318,-0.603285050180305,-0.9693645652997904,0.3035279235977137,0.4960791000677928,-0.3584300466395249,-0.8524172464873309,-0.3572494710380825,0.8564722249593936,-0.3426310511824054,-0.6513650857226001,0.7640676366639235
ETK-1,-0.8131655622832074,3.2486296780654382,0.9760257848118234,-0.7718806989668794,0.05539640416918222,-0.7821007727003433,-0.39963966733559103,0.010458131797234252,2.6482924484120773,-0.7023412823859003,1.4854321341229222,0.4605172559855626,-0.7477298495756217,-0.6094859875901627,1.2671473673147464,0.04524708003822679,-0.7505054316116957,0.9815331003461162,-0.6555559596065549,-0.6607491549905924,-0.4509737189334291,0.5317967967428799,-0.6463734990887012,-0.6789485932044478,0.7867646446898491,1.3946629284396408,0.3851307691336751,-0.7878109291802029,-0.5963909704660649,1.6136362813784904,0.735602120281423,-0.8532679345253593,-0.5172209713613265,-0.4180640852889184,-0.8197989690348624,-0.07379688284450205,0.32083250552367143,0.9081166588344072,-0.5372480176803583,-0.7419766084873222,-0.2585677285468196,1.278250959640493,0.16053188591386167,-0.7967400012473037,-0.5834547105531304,-0.33980110651599393,-0.7895036222056285,0.4138301273060289,-0.9400540944616924,-0.39795933315382254,1.170728663811554,0.7081155131486121,-0.8313451801347642,-0.5837052780234007,-0.528824596143791,0.9081998545605426,-0.6417876055405305,1.9247143034614649,-0.3466897681316407,-0.7200753015414014,0.4094503601052189,0.037496706500950314,-0.524460852626613,-0.029395606455651837,-0.02123732492865516,-1.0695775285248417,0.9084292134576332,0.3352856435292844,-0.618466526817705,-0.8654864209671396,-0.4833683157757574,0.5198005062689186,-0.4050677602198264,-0.6224763987522802,0.9078485260406249
H2731,-0.7992484194290387,3.296675649208044,1.1684882580423626,-0.7732044036381496,-0.6453623485222545,-0.7525382834330454,0.6734231696706534,-0.17396924272081726,2.3776449201730934,0.16831385697593085,1.6285249051987942,-0.06111650748262432,-0.7735444887257086,-0.5370084441586268,2.1223861887384023,0.2483553947105745,-0.7608390346223795,0.6829647795281126,-0.7193568560154476,-0.7785321924636095,-0.2844525331855227,0.4615007425021106,-0.559690328334155,-0.5617695224585415,1.5000526639380132,0.5804209339742803,0.36239735676148827,-0.7518085729085597,-0.6164635890874758,-0.6276068359205556,0.3125300544260786,-0.5962654327060609,-0.8159143074038644,0.6716009019647716,-0.8410884136853347,-0.6381387053428431,-0.4652492434680502,0.4761225992188777,-0.4418427700864057,-0.6374381883708439,-0.4107505237808332,0.4050145395629441,-0.8384764778679359,-0.8372748261384846,-0.7474873486881254,-0.7359605360427832,-0.8301764588909684,-0.6559184369916388,-0.9566716091283116,-0.1866519449805764,1.4253007705159408,-0.43023010148875857,-0.8931924145363014,-0.6012598903041333,-0.15964178122523234,1.100927029529028,-0.6443644194844482,1.4300457521068493,-0.21714230067997492,-0.7233951794983854,0.8594187429000945,0.18336718453373124,-0.37757563301429853,0.33049680357990585,0.11806006090506055,-0.8244248974116638,0.4612069919612652,0.20515465393690435,-0.2453243612957827,-0.8765333670274109,-0.4281227646593607,0.35536935831794353,-0.15702108108980029,-0.7544130018124615,1.050661174416044
NCI-H441,-0.8467922699686409,3.4922933610478832,1.6854692755536231,-0.4137432725757009,-0.1429998916661984,-0.8297087830459828,-0.3502615548914809,0.047181768982734885,2.325708291028299,-0.7590816674650094,1.2500536358910486,-0.4654757252165651,-0.650958150170417,-0.01170461230703738,2.0439225795100144,0.1437861626761997,-0.8452648290987299,1.060113705222167,-0.6406283808193384,-0.7424496816211447,-0.7186819498514694,0.41154474354794396,-0.6788457768853038,-0.6490130511559573,1.0240203328545578,2.012505012865737,0.113743769954704,-0.8248284511693179,-0.6455780780894327,1.7912284464514,0.3494992265182628,-0.6034355447165406,-0.8546152732617408,0.05638971010717761,-0.7929647301950058,-0.6505056213845086,-0.6550336104872161,0.6983521171700259,-0.42473095920027415,-0.9274393668480508,-0.4501175821110127,0.552021288329484,0.003619446023734205,-0.8560060604095079,-0.6831375545786601,-0.17695592758976902,-0.904638063947133,-0.7798379013837278,-0.8932595708478543,-0.4656608612867168,1.3670271012199136,0.3644982258333445,-0.9601931618758841,-0.4153303821851808,-0.3942555613641566,1.0348888570464778,-0.4713064903986299,1.6176203180978728,-0.5111729698994356,-0.740287115451123,1.2268652508596756,0.3785433051934744,-0.5048386655437213,-0.09686169429772952,-0.4323241623917872,-0.98085302948117,0.4628662773338554,0.23941754943833596,-0.5648539308153407,-0.933630609859046,-0.07774390743676543,0.6732702916445702,-0.28451003525850943,-0.6735617454391638,1.256555632934883
NCI-H358,-0.8626970728570821,3.3528275162361285,1.5133937488434306,0.19117946259854468,-0.053648031163351,-0.8365145975712129,0.22820352238433414,0.03331856327535982,2.4876845734977757,-0.2515176117389434,1.2896960097085268,0.09331780287998416,-0.7368641298328471,-0.3352678969802072,2.080325847517724,0.4925002891689293,-0.7894832640413467,0.7757926175704494,-0.7346009966227337,-0.7056580952129358,-0.6145540495195988,0.09300924589876357,-0.8304290377836414,-0.6499820141671199,1.5506646783907476,2.2695528302288452,0.4616857614643445,-0.8266534139166878,-0.6490405230442609,2.0170200489624466,-0.20491986778499768,-0.7432030139588338,-0.8450388015532319,-0.6307646177009991,-0.8003529130190858,-0.5709469219735669,-0.5953147259524489,0.4066265526154593,-0.3030747098850401,-0.8928125955605728,-0.039102887191614616,0.995919650661382,-0.07158285269345875,-0.7985415753586257,-0.7209125046952951,-0.5050505221038175,-0.918009920433254,-0.6992082594590903,-0.9634705179653484,-0.4374894762657099,1.6292067141893745,0.8819424740901176,-0.8431885218411265,-0.576845723058107,-0.5009229635565393,1.2274596407423148,-0.2453339387280799,1.5458741130709526,0.10527073985817001,-0.7344863126226708,0.8113056012150509,0.2604488947523818,-0.65216438457763,-0.3251140594548515,-0.15695661910805933,-1.0027092243258524,0.9194827425982388,-0.12512257186767906,-0.4701430603276689,-0.8715621277889629,0.4416383048174035,0.5934501148677076,-0.3759062541623136,-0.8939103627850005,1.1561370665287671
LS-411N,-0.8252399049657492,3.1368673823542266,1.966546162777152,-0.7547532040506328,-0.02876736146736464,-0.8145502558515936,-0.08130942838191382,0.3103556230183169,2.5054438264428436,0.7385101236417758,1.6628314169445175,0.13503394158154547,-0.4191910362774151,-0.4125172389482162,1.78174208338233,-0.1304196327001796,-0.7835736997112148,0.4992428659486559,-0.4636873859160458,-0.6721013199497649,-0.6465378676717076,0.30792462858045816,-0.2532184577490016,-0.6918616871847747,1.8349038328899672,1.686532987906819,0.08256276579189821,1.5709706210951688,-0.2856615308599505,0.8782791693504941,0.10861838134838556,-0.8217176891768664,-0.8099560079682667,0.7349194035940757,-0.7380098373948586,-0.4721539467083639,-0.008367527284535681,0.5067506292936335,-0.6603034371682446,-0.7599401493459873,-0.2673679376853093,1.0165186602247955,-0.5065788062451942,-0.8421442079861359,-0.8531911564339061,-0.582413419800523,-0.8406010699324105,0.8431680109071696,-0.9716378733491622,-0.398210433001884,1.1746826341042187,1.4945975278695085,-0.9668864520450798,-0.4121890504104221,-0.2137553150930939,1.0462840168461314,-0.7207817579785165,1.4602229645301552,-0.3390709628069545,-0.7728415900897507,0.8412287390884277,0.23400217589226124,-0.8168373886640627,-0.35371910956130226,-0.5580807539549724,-0.8976267898775405,0.37673556269863184,0.0835784757999067,-0.20427919410270712,-0.8488851561535736,0.3625898147259357,0.496095671581025,-0.315113364159437,-0.5007594089468782,1.1072906918727454
NCI-H2452,-0.8460713325520388,3.191601611188496,1.1080658963732024,-0.7539700861604864,-0.3509986349218148,-0.8497532105166448,0.10019246927535053,-0.11057951697855592,2.378162884101812,0.5343925092389925,1.6700552487350913,0.10234467566679008,-0.8068481011825183,-0.5056890793350302,1.227585527123985,-0.05448057099634231,-0.783535283218563,0.750363250044637,-0.6899475666036494,-0.7647686912464102,-0.25772778294420146,0.5083867570242881,-0.26996247811162666,-0.7070717648409767,1.5263317966974166,0.9007510098769906,-0.01473128066852779,-0.7956785696365289,-0.6659190944480153,-0.5571336932579833,0.7517881280917394,-0.7542842812437595,-0.8291500070059468,-0.5211081560253106,-0.7810246909336291,-0.5586308352213221,-0.3952054800453831,0.432297527144312,-0.6082088938227982,-0.7288177609019285,-0.248538006264776,1.0158128286370736,-0.8687984852409872,-0.7940842264864528,-0.7072275037826861,-0.6952355155303664,-0.7317801998384221,-0.4620774744472746,-0.7421373302603795,-0.14029302716811826,2.068039093221906,-0.40094006788856346,-0.9751572132491649,-0.30690173925035186,-0.23689784913544876,1.6285473102434969,-0.6865469766465245,1.2966303724376227,-0.5122237312712407,-0.8361979497441067,1.1604717518938303,0.17486977984787494,-0.4429466925798285,0.4012792702266202,-0.2834564089912421,-0.8625733683486679,0.4401423615961018,0.1705581369264669,-0.3550088148349889,-0.8109860852430577,-0.1596184972839978,0.4940815518675673,-0.314793690336176,-0.5957541549633595,1.6263349928596482
UACC-257,-0.7110609526522981,3.0256767109833014,1.9213411470744537,-0.79328888628428,0.1997312259174936,-0.6537941516128597,-0.5030246240113396,-0.5110766650626987,2.49506855821935,-0.3833885496067346,1.2463526440383683,-0.06296014168896334,-0.7105663682360709,-0.3033316046318576,1.0698052856055795,-0.03651373482622021,-0.7315298695396689,0.7586320912233862,-0.8668648771402298,-0.6259308752268757,-0.7849490141423785,0.27240087182372746,-0.7750623376856295,-0.5003207229557666,1.9090415626544712,0.9800933235322544,-0.07230069129385518,0.9521997216639644,-0.6267703628513411,-0.857479872856191,0.6095689001211547,-0.5530301132504784,-0.5427971936600186,-0.7033879692454681,-0.6943889672456175,0.997334969476648,0.3460166134932526,0.6873642718264213,-0.3167083742677149,-0.8013917384396685,-0.5489320384988344,1.8301300742519917,0.14375987297647327,-0.8395992427152199,-0.5348398079453192,-0.7070248456326756,-0.5387893061285354,-0.7433062438628759,-0.8167699894445254,-0.3194275522336866,1.883329877732787,0.2716458606413114,-1.0166749333449572,-0.4109370227072615,-0.6488836373901093,1.0792095221970226,0.27933463228855104,1.9367358004715276,-0.3951730727888295,-0.7443193145943737,0.3312185599443601,0.6625406578276586,-0.0535754824600499,0.531666245914294,0.02431113942042716,-0.9808578181330632,0.8065689143132767,0.569109677257734,-0.39300133010522303,-0.8888615239730282,-0.1797654584160006,0.4702132865814115,-0.23280851377457995,-0.7133071026525576,1.4635170711489378
H2369,-0.8228510059307507,3.0916719356215383,1.5210566953571452,-0.9612234756778856,0.31682140595867314,-0.775919823797341,-0.32850586303632456,-0.3960025708208996,2.1434350810263516,0.7978209123643938,1.3923892758129348,0.06932979989951328,-0.6679897415602588,-0.35000130746800057,1.52358083082775,-0.03826156073761346,-0.7666078629955184,0.818251656179163,-0.763417138115794,-0.7625620582043543,-0.5936181702618959,0.3890103468123517,-0.4723630976651748,-0.638180735885005,1.7371816395773314,2.282431262674239,0.24261863563415634,-0.905808013044936,-0.5770641817607657,-0.5746440723320271,-0.08161654859984388,-0.8173342658312489,-0.7496713040045847,-0.027201005185182314,-0.7896764876803988,-0.6121571119216196,-0.3649885754258689,0.5845882488817696,-0.2505323708693817,-0.5963138153040659,-0.6442527934833396,0.11688102642585008,-0.6617242922095365,-0.8323527861291017,-0.7788989348612371,-0.3278954770298753,-0.8238147419972106,-0.5918789230372155,-0.8279801518861528,-0.5814990476991594,2.0385484205728823,1.1951796879643424,-1.0259013674332915,-0.4742386953479862,-0.05232441902905531,1.5905035514662869,-0.691032607776449,1.3850980453090178,-0.09591867713419966,-0.7742837734990925,0.7841199206958448,-0.033848076739364866,-0.37027626072364944,-0.009231463053394808,-0.24414780742350276,-0.9059027322083162,0.4882774610096118,-0.4152737105561847,-0.40294723846379704,-0.7936449523991068,-0.3732720210721264,0.6222856777391753,-0.3378489135883645,-0.8317285134784118,1.2803505312110193
H2804,-0.5192330623126676,3.0287023972305334,0.12103268647274215,-0.6395859219941844,-0.5511866955466457,-0.8288123207029022,0.2425843506999755,0.2719238655148328,2.232842552432209,0.2332788016987352,1.5325257666009988,0.02873081642883938,-0.7842855569098021,-0.4683925335999524,2.6286967915520827,0.22815848776821246,-0.7279161867896468,1.0223904174296372,-0.8524886895882016,-0.7381098655340813,-0.6026814960106285,0.5064148954237336,-0.4505228069920845,-0.6915225711070142,1.8937439164386356,0.873095416057534,0.6372025257322594,0.04943376100677023,-0.6032306412483646,-0.2624985106456777,0.5306730079724835,-0.8270240642721857,-0.8065054227342644,-0.4425157721269001,-0.7472125042240992,-0.5015636769149578,-0.15284313708542008,0.6420471289711727,-0.5226471505895725,-0.8730594914541691,-0.5061540167495745,1.1587443543992315,-0.8871348890522494,-0.7958515038834433,-0.26272373195808346,-0.7104679654072904,-0.8063811705375277,-0.7101588132391081,-0.9351445062461348,-0.4774646943483876,1.858081637274,1.424046916891024,-0.9910661107493792,-0.5178824397356829,-0.6436446824465113,1.4665344439720087,-0.4288977530377384,1.3683628153348897,0.24996838291921664,-0.8202856317679825,0.3947720845654773,0.08200578811682839,-0.6854649035487371,0.3455135412482723,0.990290643900702,-0.9497779089219942,1.1297661883556671,0.21303907453752247,-0.2745420335329597,-0.8565138313212369,-0.4312594649685069,0.6548584751217035,-0.27335239188478433,-0.7911750295976948,1.1070935344250283
