,CDC16,CALM2,CALM1,IGF1,RPS6KA6,PPP3CC,SLK,PPP3R1,IGF1R,SPDYC,ITPR3,SMC1B,CHP2,ANAPC7,ANAPC5,FBXO43,SMC1A,REC8,MAPK12,BTRC,PRKX,SKP1,FBXW11,CALML5,ADCY3,ADCY2,PLK1,ADCY1,RBX1,STAG3,PGR,YWHAB,CAMK2A,BUB1,CAMK2B,CAMK2D,CAMK2G,PRKACA,PRKACB,PRKACG,FBXO5,PTTG1,CALML3,CDC27,CDC25C,PLCZ1,CDC20,YWHAZ,YWHAH,CALM3,CCNB1,YWHAG,YWHAE,CCNE1,ADCY8,ADCY9,ADCY6,ADCY7,ADCY5,SPDYA,CDK1,ESPL1,ANAPC10,ANAPC11,MAP2K1,ADCY4,RPS6KA2,RPS6KA3,CUL1,PPP1CC,PPP1CB,PPP1CA,MAPK3,ANAPC2,MAD2L1,ANAPC4,MAPK1,RPS6KA1,YWHAQ,CDC23,ITPR1,ITPR2,AURKA,PPP2CB,SMC3,PPP2R1A,AR,PPP2R1B,ANAPC13,MOS,PKMYT1,CDK2,PPP3CB,PPP3CA,PPP2R5A,CCNE2,PPP2R5E,MAD2L2,PPP2R5D,PPP2R5C,PPP2R5B,CALML6
CAL-120,0.9896993459851204,3.0529492415243493,2.507628534831807,-0.8072227247635029,-0.8767399290211582,0.4886741526831703,0.9676428068890562,0.587589438038193,-0.3008585367890555,-0.8700939637774507,-0.030940672691282468,-0.649157489122672,-0.8684757319455859,0.3231112665172613,2.2789503186924445,-0.5703651454830537,-0.2432342685026921,-0.4499633080281751,-0.07212634530282812,-0.27299279135089344,-0.009488127225370702,1.0172447090168475,1.6523402498436175,-0.836582235924515,1.1202081080833304,-0.8757481625021469,-0.43459467506929295,-0.6798152905265832,2.2410195517460654,-0.7132817865948439,-0.9435828988607188,2.4000374553525248,-0.8004982694445578,1.5694374857409938,-0.6898434653353636,0.9195781581055524,0.090934095605866,-0.6784512920953805,-0.12687051832271462,-0.654325187767558,1.5458616735582915,3.021273635800931,-0.7316602047754526,1.2509239493056532,1.0067851522341338,-0.9693645652997904,1.4917944269412076,3.10782998834876,2.0587025469542266,0.4960791000677928,2.397715712048615,0.08787233577538625,-0.006919513855742297,0.990589210426576,-0.7077193384081467,-0.5549190005269101,-0.3556607111977109,-0.6852223908157266,-0.9325949452319598,-0.7827277253616085,1.9171540836235792,-0.42297659857096825,1.5422294513402153,2.8314395412979603,1.5889586870449508,-0.8163910921494271,-0.804952845522789,1.5419913980788051,2.005091389925523,2.6007751449411587,-0.4213803407393366,2.0327199014131763,0.6544469534894845,-0.4335458597639699,1.7242217938383615,1.4419223246309778,0.254584764720762,-0.4747614952256771,1.9586219658503552,0.5260588350394078,-0.6956277347833403,-0.8271766077478018,2.7191923557303608,2.0742579418555893,1.4109455547119578,1.012618991128882,-0.8111441919344413,0.4470051612472978,2.577008982862022,-0.8667472962012851,0.33767494903509143,0.5626398548330822,1.3040273382901366,1.524973231608369,0.514671480766869,0.4541092618545763,1.6272144538356543,1.3205620781202083,0.2128283217407871,1.0802200278103389,0.6012224893695858,-0.6513650857226001
ETK-1,0.9324505338619846,3.2486296780654382,2.6482924484120773,-0.8030587673844656,-0.3713051256539937,0.15677644795219825,0.7675721069634787,0.7456161558662325,-0.4002895351531326,-1.0218715182892215,0.5317967967428799,-0.8261435962269373,-0.8005645874537219,0.445855232207454,2.2618468718806657,-0.5936844176983669,0.0701077889042616,1.3609160382615388,-0.05439148075713941,-0.06110576893763715,-0.12683764141526238,0.5712930775845285,1.0936606695513629,-0.9400540944616924,1.244822042793608,-0.8473645723491787,-0.09092614047061154,-0.7127029641946577,2.418080734146837,-0.6343333646705664,-0.9848181491243312,2.5672882350272204,-0.8338431907374246,1.587355843916166,-0.8033817133770927,-0.6078259914787214,0.20931283073934645,-0.7194000136624761,-0.18238817592854964,-0.7344656305842422,1.6268527173428702,2.635608174498598,-0.7200753015414014,1.3317242685518942,0.7678271174435563,-1.0695775285248417,1.6175380396150545,3.3810013000743058,2.3911470910971966,0.3352856435292844,2.2548246613464733,0.10500365464831636,0.18158363398482996,0.024827362974646144,-0.7809562093665241,-0.5154597075170482,-0.3049678122413211,-0.43036216968462376,-0.9001130491367473,-0.7544849365480991,1.6612792198926931,-0.0854933151745657,1.7373319721715188,2.8155358634307226,2.02799378906126,-0.6038269730380169,0.5720004321241864,1.4333254609430977,2.138340098121887,2.493745296818487,-0.4825372717385096,2.632470946531496,1.1182205197694308,-0.5583672947229669,1.3894382318771985,1.33254878037249,0.3975693338555972,0.5473748711140506,2.168234297024709,-0.07864114531409643,-0.5372480176803583,-0.7419766084873222,2.6727550990626154,2.3639344516538032,1.2653177003210303,1.0212576752692304,-0.17417101809045174,0.22410564676707528,1.7900100268861487,-0.8296468557138436,0.33766644815797114,1.1720814606149403,0.9826347885434216,1.1094227296385155,1.108368954928795,0.09094946143894206,1.4892329810964189,1.7129557998926987,0.5545692423064866,1.0008931517614141,0.2751934737621693,-0.6224763987522802
H2731,1.6319093236727695,3.296675649208044,2.3776449201730934,-0.8316779620047159,-0.7707528390016399,0.5802422320119615,0.6065560895953249,0.8449107820252452,0.35890823469799005,-0.9260609663595132,0.4615007425021106,-0.8686061200983799,-0.8255021707598625,0.7860195124820288,2.3672548095657504,-0.6344843362402732,-0.13030481931960566,2.109793331853668,0.6666704728877562,-0.14619444640352158,-0.2033313768000739,0.7336999721155624,1.9036393339105249,-0.9566716091283116,1.2105839555844256,-0.7966735920972908,-0.08218760596458466,0.5576172839475156,2.444264047020676,-0.6332148550619423,-0.9676332807255006,2.5931844268737767,-0.8649863141056461,1.7394324731316886,-0.5572428573251605,0.29629168167823383,0.08200331101734623,-0.4847361456152967,-0.08539070392550371,-0.7275353981358128,2.0711481204787106,3.0736472684819103,-0.7233951794983854,1.5865648781328,0.6474713459467927,-0.8244248974116638,1.4907405801953262,3.292427321568364,2.140423526220972,0.20515465393690435,2.624629191983156,0.6513509446846162,-0.09436662994360616,0.20261166973825367,-0.7768896859039048,-0.020720593013681732,-0.4089693650984996,-0.5726417001982175,-0.7599241614382289,-0.5316095964618798,1.4765862445476483,-0.2662827574280868,1.3678741392084772,2.4658172390335165,1.3149922194525154,-0.7810256979095048,-0.3965595020242776,0.8794643999624691,1.993939441065155,2.6938948839859096,-0.3242464018989292,2.1586324093436096,0.3118671424176911,-0.34078507665892105,1.719731624644488,1.78208281204667,0.4667006303610834,-0.07858527905274855,2.2425990805330906,0.3006460578440016,-0.4418427700864057,-0.6374381883708439,2.8541377169856217,2.5608682178972524,1.7030510831596972,0.8512296622013712,-0.7257017128262271,0.12402722998033165,2.5832218509449767,-0.7419053927871564,0.4544791931776011,0.7879814905681342,0.96608022614365,0.8494996361176862,0.3542202063540635,0.7950954639890171,1.7442242139617452,1.9101386129661784,0.42119986882774935,1.0183777311324091,0.1802984070178584,-0.7544130018124615
NCI-H441,0.9567185624129948,3.4922933610478832,2.325708291028299,-0.8159873416004902,-0.22353676177526224,-0.2059835555807677,1.1471012713180329,0.671462143470626,-0.2783253325368975,-0.8997363929828931,0.41154474354794396,-0.8878144137205983,-0.7443589329584805,0.8020466544165878,2.322114927151631,-0.8005557397776976,-0.2276601945020248,0.426339777779736,-0.2988925070410021,-0.21981724420153875,-0.12313304451322998,0.786235771087401,1.5474352358842065,-0.8932595708478543,1.5367064112232358,-0.8260447054573172,-0.4184031080713503,-0.6176814553672658,2.399272948703107,-0.7799385296183731,-0.93431656543328,2.213682316001897,-0.8230153353604464,1.9805678078385096,-0.7957941677267765,0.9436775312534142,0.15204373682864664,-0.7650292595911261,-0.7009703744973171,-0.7621262200803886,1.4820385027662248,2.7962909662834132,-0.740287115451123,1.4250973798753417,1.0983814492631294,-0.98085302948117,1.0689936437861136,3.329040243287635,2.2855367911882696,0.23941754943833596,2.1425190265944094,0.0709040849423957,0.016220028447328057,0.4614125098434505,-0.8776772097809287,-0.3937693927900531,-0.5217586180535277,-0.3710242784282325,-0.8285839799504329,-0.7965533595249573,1.6040888679591925,-0.27323390243276025,1.417182827271632,2.597063041587575,1.8116381417690188,-0.7763358049007021,0.20233674861244216,1.7291566015093782,2.1759003853749364,2.7575849597449063,-0.23869298507748396,2.3400929361510734,0.8829574758666384,-0.4899497870497982,1.7459890943471958,1.7735172566601591,0.6704127006499002,0.11385506727248786,1.929470064071385,0.2177941421525591,-0.42473095920027415,-0.9274393668480508,2.516199586333878,2.2939255143116193,1.5507677381215277,0.6858577253133987,-0.8609369977637594,-0.08935077723333472,2.1318299273508097,-0.8609576882580503,0.1585854007874752,0.332326089078687,0.7978946375204485,1.5230799007100149,1.0717520520615684,0.5971155370335497,2.0262648959008427,1.3107975468889166,-0.00041607928056226767,1.0821396107057673,0.14335375548351212,-0.6735617454391638
NCI-H358,1.2908250448037892,3.3528275162361285,2.4876845734977757,-0.8430757035586279,-0.2370255118698955,0.1133341603297024,1.2503997617508835,0.7330217672334549,0.0479160326127831,-1.0310677546010738,0.09300924589876357,-0.29428141573579425,-0.7765764487376476,0.5165048671747727,2.2117083866474623,-0.8000605505787739,-0.1930947680688508,0.6514348672505887,-0.2560965802292562,-0.2368656622304403,-0.01242724165613067,0.5551214148262212,1.6911452987957232,-0.9634705179653484,1.0762347637913396,-0.8625297561305286,-0.6495638980524161,0.16059801371355076,1.8991014939027375,-0.4230914526981717,-0.9414572575179436,2.097346416839168,-0.8447945012530612,0.38160046050835816,-0.7985102390812708,1.1990658993820391,0.03078300906271989,-0.7460264884047975,-0.03861385085110898,-0.8119595283999252,0.3044443670520519,1.7841419486272703,-0.7344863126226708,1.0671094079930332,-0.41333089456668265,-1.0027092243258524,0.0911285112289262,3.4326749522587825,1.973629618279972,-0.12512257186767906,1.1261315522865207,0.15907343478117975,-0.19894324444415845,-0.5929583256056256,-0.8470230774569049,-0.42235032146246737,-0.27202491482074803,-0.3235148738411798,-0.8648575559922765,-0.7665096903701288,0.4117914463802689,-0.6757271984283594,1.5688983188122068,2.7477958507830316,1.9452322977593564,-0.6713981212999189,0.3232432688249177,2.025435595277731,1.7367997102732111,2.7268814520643816,-0.12889379757019806,2.0464961862271758,0.5908614322155727,-0.5124007062067775,0.444919585684601,1.6268785160704868,0.30552863757628834,-0.11319189558944415,1.929182437578682,0.12170666207626635,-0.3030747098850401,-0.8928125955605728,1.769178025091288,2.642134797272039,1.0934824924256668,0.9650403307370296,-0.7794782959718393,-0.17130478088172274,2.267261437629183,-0.7225681402130053,-0.2496799544354735,0.1986683615373689,0.7105725941996609,1.5168640378636915,0.6599898087186403,-0.7436495108143794,2.0034134480736596,0.8555985350520335,-0.3658111773694819,1.3649442242254377,0.5109118085648208,-0.8939103627850005
LS-411N,1.5595178059989654,3.1368673823542266,2.5054438264428436,-0.7632984306223138,-0.8016302412946349,0.6102058000785681,1.833641422562616,0.6866831691116626,-0.4480489371165775,-0.8586222366993141,0.30792462858045816,-0.8758083119889805,-0.7907183422107622,0.6243672231307364,2.4674136237200144,-0.740810805785901,0.0748568259775734,-0.36537579594333547,0.27356411640083994,-0.07223427869876888,0.24008740080601,0.6122396786313861,1.6230509501067814,-0.9716378733491622,1.2169137405546342,-0.8699500737857779,-0.4771420288826598,0.9000359738931872,2.1390982107228984,-0.7131588207155416,-0.9086360390655932,1.9963609499986563,-0.7724675179587096,1.2472625707978706,-0.8460535006733209,0.6949287644584758,0.16783838584763744,-0.7492424351953667,-0.7536140345273097,-0.7472563480640524,1.4063939296637484,2.658379107990036,-0.7728415900897507,1.1052379676203974,0.5725895748174168,-0.8976267898775405,1.033362227629733,3.2872949471166173,2.5596530416349763,0.0835784757999067,1.808802920977723,0.2519590387667756,0.15740810843565226,0.381230979899476,-0.7839596049088862,-0.4926398162698664,0.2731382767418529,-0.27217798054987435,-0.8091269812208928,-0.7748629697318552,1.6196089495719317,-0.2628652567728596,1.2696983619843212,2.4491761357700885,1.8648442801490044,-0.7075433233713426,-0.6943330299245424,1.756609840055967,1.9614002196056053,3.005525604776225,-0.4077864176578668,2.1186011901225594,0.4836942612484981,-0.4999693923397617,1.395791335964411,1.7908406823370158,0.5281396400601249,0.1660794158213361,1.6758095689378227,0.26484704564375705,-0.6603034371682446,-0.7599401493459873,1.8297576122833863,2.3892802421892445,1.9266856434472708,0.6144815969314342,-0.8322011083450036,-0.3146010378274537,1.9361059107540401,-0.7296646322355067,0.118383956321777,0.6829012001474364,1.1860568860720222,1.2675580514914555,1.1578820293640029,0.20158640793744773,1.6102494964872045,1.3443168913144257,-0.3906655881525333,1.0423147815453055,0.5000731675100152,-0.5007594089468782
NCI-H2452,1.1896380955613721,3.191601611188496,2.378162884101812,-0.8152370417214918,-0.943198528558692,0.6097697323772127,0.8440681837192325,0.5156737189830976,-0.5079737735048403,-0.9041628251487828,0.5083867570242881,-0.8583170084634426,-0.8405076697169629,0.6064430582125037,2.427765318400649,-0.6048586002804012,0.01387627598371274,2.191131851032145,0.5229232475125958,0.019128126026841472,-0.22721232965823696,0.8320192443642216,1.5928541137527064,-0.7421373302603795,1.5141228594189018,-0.7743003938053024,-0.2536130657747498,-0.6065239546777987,2.2402293640041706,-0.6647005607613509,-0.922377264902622,2.3368417588824317,-0.6207253368030587,1.2282506452840618,-0.7575682245033781,0.5390059237100548,0.21101102242604425,-0.6452435927900988,-0.1809493330546448,-0.7149489808767246,1.616978288795737,2.600666513485505,-0.8361979497441067,1.3333232311029126,0.6601045991373754,-0.8625733683486679,1.248046973661442,3.0085577807165205,2.390283277856589,0.1705581369264669,2.3066626652406863,0.19259619589040428,0.06508184616923188,0.3352981653527792,-0.9263919771828658,-0.3606145022142127,-0.5305719669820655,-0.5131725058526982,-0.8778705138179269,-0.6734237557391414,1.461456330805926,-0.29114451827897153,1.0154729066578057,2.2844351146614708,1.7385066518646413,-0.6038890715469784,-0.32266290511113543,1.4646385136820488,2.1006077027769554,2.514499438678596,-0.5019313728062356,1.9977910062190103,0.3383250667796434,-0.2917622996165344,1.1744448730410357,1.9347741036398252,0.5485088606794144,-0.15436563603915307,2.083525737707735,0.3009627111640468,-0.6082088938227982,-0.7288177609019285,2.3230320245259626,2.597652318229152,1.7929832884469377,1.2147071988261764,-0.7720904753656895,0.0043484984232475725,2.2211099149047224,-0.8784443175950354,0.2362643235309936,0.5851386062026439,1.0372322708424515,0.9832393698470784,0.4673307923939845,0.3138612227890645,1.4337833141975358,1.6270081747289262,0.10607174037816552,0.8862885804314832,0.2401519010183465,-0.5957541549633595
UACC-257,2.2775788316632632,3.0256767109833014,2.49506855821935,-0.8052434929270647,-0.9938407390701351,0.2289131802539772,-0.5653799376966787,0.9334381880202888,0.2274175756354407,-0.9204196112701476,0.27240087182372746,-0.7891043421077637,-0.6953698820815825,0.899310774408524,2.4812960140602645,-0.2196341400434449,-0.4909313353137354,-0.6303053266283913,0.05482263654381995,-0.26917880237346353,-0.3160382285827913,0.7744238623112897,1.5733250497306537,-0.8167699894445254,1.2613188241917048,-0.5487957931353078,-0.33629779242042696,1.993117732421708,2.3362653719729964,-0.6791673522779567,-0.9556877951888649,2.4358396422006567,-0.6916073111439359,1.3142280278040546,-0.7923150064044164,-0.3189395196963855,-0.4358507266623245,-0.5743692795425096,0.35160257937611256,-0.7392199079329052,0.9302043702931596,2.9107749012751447,-0.7443193145943737,1.359347372049179,0.3099766454709097,-0.9808578181330632,1.0910479161263102,3.3155459008854544,2.3306522375148546,0.569109677257734,1.8738207406780159,0.1392198729259865,-0.01579469234183889,0.6406508933251416,-0.803708910974226,-0.2112420177555362,-0.2991199706174708,-0.6552108187346377,-0.7885731146898931,-0.7502995293473319,1.189320282251004,-0.12548733821641664,0.6380006763627802,2.4303391995042536,1.4920891032672825,-0.7674076783270078,-0.8198936095332048,1.4655828698669384,1.7302538613370728,3.0052939295815477,-0.5563936439149799,2.0777689682815117,0.4198127773087068,-0.5106914408893966,1.0827558357403029,1.2700002610756136,0.7572535381033558,0.07203473141150467,1.789364565638349,0.04764635697905994,-0.3167083742677149,-0.8013917384396685,2.4544289428523203,2.0991224689508146,-0.6573480350634754,1.0801914921142963,-0.8314685425270084,-0.08538170283451729,1.7709055267701308,-0.7194155181214337,0.3067440634579736,2.547174628659425,0.9798141438305474,0.42252463037964,1.2053216268533933,0.5126232964264357,1.252825376118932,1.8984230414142973,0.04309199429846485,0.8368114078506057,0.4029382644595113,-0.7133071026525576
H2369,1.2504989417975465,3.0916719356215383,2.1434350810263516,-0.8009926084809159,-0.8842795892188972,1.1137573522711923,1.0193967501377244,0.4648833523956536,0.1445481290074905,-0.9018506483111848,0.3890103468123517,-0.044944969257239606,-0.89093309831169,0.5935062805432929,2.552023078738877,-0.8421114419936374,-0.08874053058505303,-0.2235487042139156,-0.008771997303482411,-0.1776095686283432,0.0018002208058185297,0.969016809468214,1.6233342921291951,-0.8279801518861528,1.680456962564557,-0.8928757910639887,-0.666962072148627,0.004980226308451243,1.9776254064718133,-0.5734557143445265,-0.9154106279990616,2.163469716905555,-0.7666587914687972,-0.5448685795488106,-0.7406429182335368,0.5954084251627866,-0.1519435446921602,-0.6049501934502494,0.5788888410259995,-0.7371957869808202,0.6557711461486129,1.5361932558262634,-0.7742837734990925,1.3513444063254785,-0.4661891581775342,-0.9059027322083162,-0.22822722800943426,2.96432867347298,2.21121762208424,-0.4152737105561847,0.6324436854822815,0.4674105442767471,-0.2905066223038159,0.2570106892432625,-0.7260353675921927,-0.12638299994389082,-0.3452824988242441,-0.3656345228630463,-0.9298410029078202,-0.7186243338342185,0.0903508272512003,-0.545675742130991,1.8349101427850119,2.597991109112804,1.6167083729494922,-0.7234662229320352,0.6534345053180017,1.489438769970385,1.8417998319913285,2.81399143520468,-0.4999383508852132,1.7840308542965482,0.26262041498512817,-0.3769028090148966,0.3468197178565016,1.4873413273258589,0.3546276216895768,-0.24614358527301475,1.8270133235965949,0.3444471109683537,-0.2505323708693817,-0.5963138153040659,1.2849630929844928,2.625648552384161,1.4996747057881468,0.9346725516063614,-0.8194587247056506,-0.09114598199196096,2.2703955740669244,-0.8248148164148228,-0.24466189640678196,0.09190800904079688,0.9321089114412611,1.405160528381142,0.6704614087913818,-0.4976651343829449,1.7740577055763505,1.7445353544374969,-0.027848059341346355,1.306040240596356,0.6920216979023533,-0.8317285134784118
H2804,1.309442773719578,3.0287023972305334,2.232842552432209,-0.8154948988360905,-0.8900125641797672,0.7003334883779747,-0.21714094824119815,0.8140144922366889,0.32517978177385365,-0.9642884952508096,0.5064148954237336,-0.9160381402006093,-0.8765614902828154,0.8680289398323922,2.447714752035407,-0.6118010742372625,-0.13972719381274035,1.4309657595239185,0.14300282052086305,-0.28175814526586057,0.14106790079141635,0.974384070960843,1.770953645195897,-0.9351445062461348,1.1885961622008634,-0.7896480110263362,-0.15107127009604324,-0.4011081155948106,2.3523173411244045,-0.6949025305178386,-0.9000595378402709,2.3341332387391125,-0.7856330359540099,1.094485671639898,-0.6604254215257457,0.7527346594322986,0.19029487929264755,-0.6335838250791648,0.037417570691581366,-0.7164047056769286,1.3420047181985062,2.6086706694175334,-0.8202856317679825,1.2102813505688836,0.6865668214226474,-0.9497779089219942,1.3808279954356106,3.3706592814476335,2.29987655173068,0.21303907453752247,2.424778612109787,0.3223088786038868,0.1240823435162547,0.5102734854801289,-0.7141203000405323,0.0913745429735691,-0.17372681643090765,0.3082058205806011,-0.8560797455361249,-0.6092808205313675,1.3660512089104937,-0.11172055893588133,1.2708808867889356,2.4433898001111607,1.5377013449030346,-0.7810567887522382,-0.11783811524758725,0.3747394540415649,2.1657846033261743,2.691773608843138,-0.3864103820772829,1.9678523604873952,0.2628231971577309,-0.45721224703745394,1.3816680170968525,1.0589140029938062,0.13328015511769925,-0.2370857719876033,2.14626585959597,0.4085273997216068,-0.5226471505895725,-0.8730594914541691,2.3398527919342937,2.6627091595747623,0.8066902532618472,1.0014732961483988,-0.3283525615441361,-0.06811964085080753,2.1614130755970544,-0.7299272148179915,0.4536820444680154,0.9795418391247211,0.7699003857676869,1.2439173450560286,0.655624835902934,0.3479608540653038,1.2132918980422505,1.6411245637137015,0.1464575331962264,0.6630189783039875,0.1508141876898546,-0.7911750295976948
