,CASP9,CASP8,SFN,TSC2,IGF1,CDK1,GADD45B,RCHY1,ZMAT3,IGFBP3,RRM2B,TP73,SERPINB5,PPM1D,BID,MDM4,BAX,MDM2,TP53AIP1,CASP3,TP53I3,PMAIP1,PERP,GADD45G,EI24,SESN2,ATM,ATR,SESN3,CHEK2,APAF1,CDKN2A,RRM2,BBC3,GADD45A,TNFRSF10B,DDB2,GTSE1,SIAH1,CCND1,CD82,PTEN,CDK2,CHEK1,SESN1,CDK4,SERPINE1,TP53,CCNE2,FAS,CDK6,STEAP3,CCND2,SHISA5,CCNB1,CCNG1,CCNE1,CCNB3,THBS1,CCNG2,CCND3
CAL-120,0.07865542888154624,-0.09970353089763187,1.0508262388830687,-0.3795446602505823,-0.8072227247635029,1.9171540836235792,1.3246592717845316,0.6647459071389301,-0.272117073556339,1.2633617866201952,-0.6496402734160119,-0.7939932411429899,-0.41490280325270895,0.006043590910240078,1.0946185024947717,-0.17506254788760334,1.0559461422691407,0.36507224971288943,-0.9065574031310656,0.9831462012512268,0.2522635018123609,1.5337108739248249,1.3751957751855048,-0.9325386516128302,1.94629144507108,0.7714881145620531,0.7899997951845856,0.8883529386386116,-0.8311032896665749,-0.5413012012979919,-0.6044755889844281,1.7383689106713842,2.2406269999227213,-0.23252300812937626,2.70788181196846,0.06403686072195254,0.3544158540550179,0.5938033407476635,0.7686984369180073,1.6214164799230069,-0.4403152270588375,1.265501791663064,0.5626398548330822,0.8848345205697657,-0.5139814858595722,3.1818716648663687,0.9050634463597872,-0.7349239008595684,0.4541092618545763,-0.5246797646360796,1.3976236845753012,-0.4226631914527257,-0.8641279078469145,-0.08096833398194113,2.397715712048615,2.100226935247767,0.990589210426576,-0.8303731903957673,0.4623179482283194,-0.7339908999949076,-0.5697050715912462
ETK-1,0.5480063931414073,-0.1490011304985307,2.2678299771711425,-0.4180248589144912,-0.8030587673844656,1.6612792198926931,1.3120411654892694,0.23140084515818765,-0.7119240446738312,1.0977747537693197,-0.7158063831172196,-0.8659051144642279,0.6498241289739937,-0.12357636334648588,1.6516532756102518,-0.3651071090575602,1.139768348811348,-0.5960547588368359,-0.8167342702629056,1.2026427417014658,2.716356662166997,1.1437531438326294,1.9594769960502103,-0.6461478771524022,2.2824465832094205,0.7333401946459108,-0.31468481755323896,-0.3660715191847871,-0.6961535023517645,-0.5835668395890984,-0.5218304759786743,0.2541994168321927,2.2898356342109234,-0.420448567160524,2.043654291094835,-0.0670941730409885,0.4674159685787304,0.8575269969640559,0.5374371269504329,1.1184704280462483,-0.3758334929743781,0.9081998545605426,1.1720814606149403,1.2594612506689968,-0.38341081421961976,2.057544437926905,1.5874040964175269,-0.3081303706929966,0.09094946143894206,-0.03592734674282037,1.0800331132350227,-0.3388495090882646,-0.8920504632055984,-0.3892434341431848,2.2548246613464733,0.7156285499402321,0.024827362974646144,-0.6997418198437301,2.1687720252408123,-0.4993014767585772,0.10480970385667797
H2731,0.12263794802164875,0.1824777109212319,-0.30076970930508634,-0.32624176581224346,-0.8316779620047159,1.4765862445476483,1.8500904696521392,0.46075065276147403,-0.12189706323572397,0.6007467616084979,-0.7397208327938782,-0.8118921143601993,-0.7106439452178568,0.240882532562496,1.9055950560038157,-0.12871343516963685,1.1025902969260026,-0.4420275798391613,-0.8253331084358629,1.2954142228620908,1.1050526539374403,0.7146974203435099,1.6791579122477232,-0.14429285013374973,1.7786843287040426,0.5443505077860193,0.09867391368027036,0.7681489480598761,-0.9175628888004724,-0.8805263725393109,-0.5296645778220906,-0.7543119097295989,2.5158550296776663,-0.24790738051388544,2.888059934907869,0.13146133952264635,0.25765518136108084,0.8921688041445881,0.7101577495253357,1.6224056262988529,1.3295198968010131,1.100927029529028,0.7879814905681342,0.9212828442038408,-0.22852109898069198,2.362112511297713,2.044123238374861,-0.27861377313300995,0.7950954639890171,-0.4096944225314991,2.2939955252623125,-0.3837059905050077,-0.8756195919302432,-0.6192741072897211,2.624629191983156,1.7941270603214698,0.20261166973825367,-0.954469890078642,0.7029102832770524,-0.5374688255782339,-0.2654886024896253
NCI-H441,0.289470294262159,0.3089523012616001,1.6806574366018647,-0.31180855362977444,-0.8159873416004902,1.6040888679591925,1.1828189437224197,0.9624240016836088,-0.30637369384220536,1.0223409944777255,-0.5805362452666549,-0.8559010246886803,-0.43434952206129773,-0.028287017155889136,0.5377078092756719,-0.2404813488530108,0.5936551462963966,-0.45032509649207003,-0.8148807654503073,0.6975340346678282,2.143783300278533,2.4481187070289088,1.7844688077022086,-0.5749924098304448,1.895249359708112,1.1708874760194483,0.2149093231381076,0.7186466530916672,-0.6161323363723812,-0.4698162759272208,-0.4197731254932607,0.8966215214129494,2.5516260601614684,-0.17655825376514667,2.6012919665379663,0.3160228386873038,0.3663246539272485,1.4349545895950724,0.9656706795516125,1.4751263340395302,0.14765413118372467,1.0348888570464778,0.332326089078687,0.9477100913624186,-0.1763740763048137,1.9335633505692351,-0.7397706343539471,-0.6383252117863865,0.5971155370335497,0.7524574105686171,0.7812109945381533,0.11311067473314736,-0.9771756202602296,-0.6637964950073312,2.1425190265944094,1.3069391801416332,0.4614125098434505,-0.9273790126633066,0.17360184348458824,0.02562827111643126,-0.7248088374836381
NCI-H358,0.013784054796122864,0.237091339351624,1.6362457100027652,-0.3300007542088455,-0.8430757035586279,0.4117914463802689,1.3992058253702733,1.1052391715652352,-0.3910915158974113,0.7032189565044945,-0.430588176686982,-0.8699051513160366,0.6800726802645828,0.25058936784755725,1.5057158422200811,0.1099822656604318,0.3289802346067581,-0.38691403089804,-0.8544594978181784,0.8728224966373465,0.682331338938599,2.37206285872686,1.6367199513248052,-0.14276635176556482,2.0153847442374437,1.5028876111782576,0.4684805075796486,0.628929680052921,-0.8428061064334894,-0.7635611153914822,-0.6535253496377701,1.2308148728064148,0.0740705586811348,0.19792337610962893,2.326275961623708,0.9425971170356572,0.16442720129162555,-0.5645365558449422,1.0914725326847936,1.5146227970828097,-0.4663348360683458,1.2274596407423148,0.1986683615373689,0.03609083965761157,-0.5502460181310727,1.9529142056956148,-0.7217576560104778,-0.8915542093576039,-0.7436495108143794,-0.0296815452815639,0.8655478010038485,-0.09585044767941872,-0.8998822000120981,-0.38937259544607145,1.1261315522865207,0.4763408319032082,-0.5929583256056256,-0.5840940554745784,-0.2466887561035985,-0.25429457631053426,-0.6942137532176489
LS-411N,0.1514529122364529,-0.2338569292705988,1.5197258686097124,-0.4901846119260792,-0.7632984306223138,1.6196089495719317,0.11906385850114964,0.9303752219927102,-0.4305546097707248,1.2862733523926306,-0.6811007992271406,-0.7599705432788441,0.7081204956518742,0.07722362056118035,1.5025189311302047,-0.06493636952614905,0.7977611934666696,-0.5028951519342859,-0.7731794458513359,0.7552156809886026,1.2549130351650082,1.1326023015730875,2.1389034013900905,-0.5727296090934424,1.9006272720361037,1.3946396860260424,-0.12603810119398734,0.8320135503722829,-0.7610015334837917,-0.4368795686100901,-0.5691012230782285,-0.25282588486265795,1.8247257869271372,0.4084296254877973,2.687236739717214,0.3695988414317224,0.4406241186570414,0.2299153983030236,0.9167296787529308,1.023387112447965,0.34585410342755785,1.0462840168461314,0.6829012001474364,1.0922412432010724,0.4360310212043256,2.201801686746017,-0.7182014142502784,-0.8085479604313023,0.20158640793744773,-0.3180782679878193,1.3553398083394728,-0.15291891258240853,1.903762075692684,-0.4315826272592734,1.808802920977723,1.847787437797729,0.381230979899476,-0.6584058661472069,-0.3656271775165009,-0.6615210463613771,-0.730889376595345
NCI-H2452,0.04007327900862855,-0.5504474327643829,1.4965687746302303,-0.3555395962810773,-0.8152370417214918,1.461456330805926,0.9536775066091152,0.4646875911344999,-0.5402685578691004,1.1708276990339994,-0.6818264455684206,-0.8509708005383951,-0.7503358017507609,0.008850707535224373,1.7751547817381923,-0.2954695408885945,0.5236676284370169,-0.4543862626298515,-0.8607160637188287,0.9359360534512214,0.7241169030589427,1.1266141270598564,1.5892907429857457,-0.5951270646489737,1.7611198102946195,0.951230627896172,0.5533566676375649,0.6509896421333263,-0.8477988411614157,-0.6271475857583888,-0.5814116153696266,-0.6598267040257796,1.9721921900698582,-0.49576160232367406,2.7222583481966205,0.06825620310270493,0.6218831601271215,0.6124186307823221,0.7851651508614004,1.04083962102019,0.20974936371541386,1.6285473102434969,0.5851386062026439,1.1427008522274078,-0.3280224300963796,2.1959186990872066,1.944396185705808,-0.7462976592883931,0.3138612227890645,0.33722080582561537,1.7587514334005387,-0.20451753449904286,-0.8262718576997853,-0.4714817799299398,2.3066626652406863,1.2101907857069278,0.3352981653527792,-0.7998307775953162,-0.018165584905011054,-0.6451247932413635,-0.5379350322780826
UACC-257,1.3121664420007093,-0.016975187062175982,-0.5188087987917164,-0.4738981851076182,-0.8052434929270647,1.189320282251004,-0.14612409825355066,0.7434604198587492,1.170860091963938,0.6334721877217967,-0.5200499356766011,-0.7837626423690442,-0.8044497878650265,0.4476744905255001,1.3034084149212153,-0.04168947092349511,1.6405831488671008,0.6936780349266138,-0.8996343756337365,0.5390662786749576,1.3042260237349417,0.878403690775787,0.9964093959248184,-0.7239934566355574,1.970472880315171,1.5664752437251592,0.7471954961555995,0.10387786434745827,-0.4751894559547966,-0.6258497479037658,-0.6423702883844482,1.1554246127560468,2.4488413100521518,0.13789613725472671,2.1822853194863563,0.3205801445393682,1.3482196360554728,1.0683558905841355,0.8850556769096273,2.214618837818719,1.331284850181239,1.0792095221970226,2.547174628659425,0.7387639518985968,0.9255119429516808,2.3613011013151404,-0.67388930664134,-0.6644920573003906,0.5126232964264357,0.05929285440581431,1.1761500200022124,-0.7409751751015813,-0.9041800290303408,-0.4738566965130633,1.8738207406780159,2.0481591187265207,0.6406508933251416,-0.8658356365234589,-0.3717241509979853,-0.7001215375563377,-0.1340469979676696
H2369,0.11026183624539156,-0.16941712336643494,0.11758292460489472,-0.44275886825935856,-0.8009926084809159,0.0903508272512003,0.6448748011805108,0.8623878075035509,0.6528525429591039,2.6775687585788983,-0.04061344574464351,-0.8843310202423669,-0.6256504552094383,0.07725046112211552,1.4057076494156968,0.11200015412174147,1.4739128458077366,-0.0029879647070044685,-0.8527268701812846,1.0508982885031573,0.04159833347933917,2.2623209514200866,1.9092286728669223,-0.7709516440213596,1.6674507077348355,1.9373381979108493,0.6831016292497075,0.24304170760458685,-0.8968765178420905,-0.6092938640813336,-0.6643344136482496,-0.23366881837931466,0.4355489250044479,-0.057337635246851835,3.302679744281596,1.0248948215138278,1.2289981041893752,-0.5754059716781427,0.9080595332688488,1.3709257978228937,1.11709393218191,1.5905035514662869,0.09190800904079688,-0.034681610735183166,0.4569106227237883,2.0259994531597103,1.9325559968100403,-0.7192129739211564,-0.4976651343829449,0.8051239310883628,1.2609060513835753,-0.33822167557329696,-0.7726567963565387,-0.3862249483056922,0.6324436854822815,1.5770679686553055,0.2570106892432625,-0.7319332739971416,0.6381347439839644,-0.6836158759861654,-0.7298493364651853
H2804,0.04349367378848885,0.04030725745712358,1.3193667570045648,-0.1908127619615332,-0.8154948988360905,1.3660512089104937,1.4527594998735556,0.3299787519003827,-0.33097490659679946,0.6299924779043913,-0.6647315848034581,-0.7887364397856541,-0.6820197261642951,0.31033930541959553,1.738404614639817,0.105363849742431,0.990825109216896,-0.4481854631800632,-0.8495415321007241,0.5532253659842721,0.5536260704451333,1.497784524632084,0.7572908231054987,0.024898915636121132,1.8227592122980063,0.7910795016336726,-0.1596010130240241,0.19657658164730693,-0.8737172529584459,-0.6097999015469241,-0.5787625819442973,0.3136796850619741,2.2334935102956512,-0.251120058917694,2.3695620566416364,0.6255218361388332,0.33955509425573505,0.6187587714885169,0.8504820355817667,1.3947262458240641,1.119331378698526,1.4665344439720087,0.9795418391247211,0.7841041732157112,-0.5682955903359134,2.4243450424407778,1.1219459475712918,-0.8823581537033508,0.3479608540653038,0.05343690489803704,1.7510720672534796,-0.3137652272814302,-0.8315272599231891,-0.319081494976057,2.424778612109787,1.1124892403776092,0.5102734854801289,-0.8440373297270671,0.03160940623898823,-0.7492834306486115,0.2503385942856203
