,STX12,STX2,VAMP5,SNAP29,STX7,STX6,STX1A,STX11,VAMP1,VAMP3,BNIP1,STX3,STX10,VAMP7,SNAP47,VAMP4,VAMP8,YKT6,SNAP23,BET1L,STX18,GOSR1,SNAP25,USE1,STX5,STX4,STX19,VTI1B,BET1,VTI1A,TSNARE1,STX8,STX1B,STX17
CAL-120,0.9908289550805052,1.6015716894816112,-0.2724762624575233,0.02253423216132933,1.0062263867492969,0.6756028319829119,-0.6531348104600307,-0.4196525409731802,-0.6850178728911522,1.7993980626449166,0.17938583089051088,0.29406592901467266,1.242295402716541,2.4087981634771882,0.9497987900434292,-0.2784876006688531,2.549516703079062,0.7644443108698082,0.3007750626283852,-0.19278721283473305,0.9649240353491099,0.0694593623273266,-0.8890299546426852,1.5141266789401384,0.2152120806474495,1.6241848386516042,-0.6979709357532954,0.7185495790282959,1.2445061200675935,-0.6702373654982829,-0.8006978742332503,1.9560988731395947,-0.7559022404583743,-0.0073682405640994346
ETK-1,0.5954754860345918,1.122822403007983,1.4887417147642004,0.30348979738267,1.6790931512100091,0.9148500617875572,-0.5581064286756835,-0.5514677120863153,-0.7861393602041966,1.496720632738643,0.29638180074472553,1.0285384297441544,1.4556491643536476,2.4202793487300687,1.531381261049988,-0.19853126728728754,2.6866524083645893,1.2305922367735205,0.7716033317128663,-0.2812524664692451,0.6897856970353061,0.314442263982151,-0.9158686606122712,0.5559366695295738,0.5209964072213301,1.466609278515915,-0.3560000469490021,0.5381184132600931,1.3943508368596202,-0.5146367616828494,-0.8375437273015374,1.907938114442241,-0.7051043149404891,0.09179214127420644
H2731,0.7421518452681009,2.0424782582248686,-0.7201078998088821,0.3409381069931141,1.3234232622979205,0.8671094319747268,-0.4917736577251404,-0.1590495543402645,-0.7217502146317623,1.705372194970051,0.6482825084973421,0.6373886686646948,1.5710661287958918,2.336948346616903,1.1692824046444406,0.0018606770316475507,0.82741202772498,1.4411179057968426,0.7437290339460739,-0.4306555187258485,1.0145326214032335,0.4506937191584201,-0.8673373618697665,1.1924833866317044,0.1233500289471979,2.009302862180857,-0.8133867533882577,0.4286779958652491,1.4555597142253285,-0.5087934464909314,-0.9165523880329564,1.8403841347058525,-0.8279310377392957,0.1262538067367137
NCI-H441,1.1706371927154593,1.5044213469152583,-0.1937832160192584,0.3275918279643032,1.1121904038158523,1.1731763760001446,-0.5159935432100471,-0.4721851776784316,-0.8395328085590236,1.5031597929007017,0.4431034133195732,0.572920142291525,1.618612293618879,2.112199132683412,0.9408175269205225,0.06839871372849668,2.6409863131584155,0.5371097625058497,0.4013624508587937,-0.3629921844144311,0.6947500009692077,0.5637936618118391,-0.8998944346213681,0.6813973331739939,0.1016854953549065,1.4512607904409918,-0.5047269577879995,0.3534016939236953,1.9979006171520952,-0.5864000859423314,-0.7227665738516532,1.9524980844131947,-0.8151511344169241,0.14039940339952628
NCI-H358,1.0091864327891047,-0.3093560702183249,0.5280372343057367,0.2650367827970074,0.9210985055482106,1.3892557633727165,-0.041216564805077564,-0.6957636477165003,-0.8487170388990385,1.2534969541120358,0.5192279803530258,0.998256378042586,1.8310612327451856,2.1898500590037213,0.7511466801760454,0.1261236350239485,2.658296381230885,0.7306895443747681,0.4625618526738938,-0.4253772270609387,0.8282695800711132,0.5882928610804485,-0.9314321076507538,0.7478883234583396,0.03014373794718383,1.5298488070828151,-0.3833553728353482,0.7259921941839863,1.0282809097660544,-0.7391808923493751,-0.7333251170920434,1.7527185588481755,-0.8287162406529568,0.4292461061445544
LS-411N,1.0199559989262763,1.4489160183018193,-0.5132784693050888,0.15795791392889244,1.3286503332596131,0.6931831529291043,-0.4958977418958022,-0.8007650698485225,-0.7834108291620173,1.1907662329658868,0.2584014108872615,1.41593511471852,1.0289324880870931,2.1505772022770357,0.6095282431500234,-0.3578646367935306,2.336621037579043,1.0917923856820233,0.6534612997911923,-0.3039613182341376,0.644275366137086,0.5454819034137814,-0.9560193924739394,1.210592382822022,0.021999277049828674,0.8618102021279472,-0.4493129547175647,0.5642629767634637,1.6917114455396711,-0.2402746443523575,-0.7604700114217432,1.5413852902184129,-0.7718588800543603,0.2745793806632258
NCI-H2452,1.056611284690555,1.8600993664045136,0.998580788465948,0.6179894636204172,1.6010550054660422,0.4808121655915378,-0.5446395984832624,-0.4181774305148336,-0.7841045717440929,1.8416909151580103,0.39257541991697603,1.116108435563083,1.474694187109323,2.495360563496773,0.5507400939189703,-0.24717875271111395,1.7542564086315875,1.1285622705395604,0.8053558923158327,-0.08772238601229361,0.8656349056504998,0.1371713282591374,-0.8891181049554959,1.5812037562532768,0.29891890827954504,1.9204152932276284,-0.6430592939277258,0.44576880312729067,1.4052214151993603,-0.12606074325500696,-0.8280496992677764,1.9645487378738369,-0.8125904090373363,-0.04003754034093895
UACC-257,1.347091343775535,0.969814559315761,-0.23889736068099096,0.6448957600849482,2.3024313937027983,1.2074114761451955,-0.5989209660182895,-0.8018917182212012,-0.7936864587994494,1.949184150892885,0.3143972050372056,1.660162302440373,1.4952897447546631,2.5720108675073163,0.8816386803008583,-0.26701018463875537,2.0750288563537342,1.2210160131954388,0.9495400747387216,-0.2617642508973535,0.32774313925023024,0.3367804919272225,-0.8347325685566492,1.9006245005231763,0.016380009853362975,0.8084076885275235,-0.6228690695638469,0.9410978337728396,1.4626926691492783,-0.5203045669061711,-0.9048809429797171,1.9120745638567127,-0.7568769719951138,0.030690817775904662
H2369,1.128253278108549,2.234612567204076,1.4404551359058917,0.3720408809457864,1.2300522078334186,0.8307109802782616,-0.5829702707729096,0.4102441344224896,-0.7883242299691198,2.0574262454985246,0.2672306141260421,0.7001704979735259,1.5969255738393866,2.4985218394823034,0.9683879071662732,0.2561715773098492,1.4813410600384538,1.0187195180273696,0.8336681015379951,-0.2926751263767335,0.5919635535383174,0.03861632351379121,-0.7719663556751786,1.4656762061527244,0.1817187208276524,1.4872425027708474,-0.5477952618792998,0.5034420109376968,1.8653296222282367,-0.6273730420638716,-0.7434772509617468,1.7598977733413144,-0.6903528495199607,0.2806606185375267
H2804,0.7364063098927129,1.658626293111615,0.9832892993740526,0.2539170774799693,0.6801778881415566,1.3459620104086478,-0.6323303636544658,-0.3668774708682148,-0.6300514419812535,1.5302385852334257,0.6495971802205424,0.23525309181144724,1.3962706585182865,2.3097867743685363,1.5018740137371969,-0.0858752410558036,0.542081652951673,1.0570915433101695,0.19202059843107191,-0.034461210466055305,0.6730899251901348,0.3988723285383526,-0.9157344981687582,1.09199241668367,0.041293935070247374,1.6902383277396236,-0.8407916853994546,0.19490997754733544,1.2496295959430368,-0.4644680441497469,-0.9349028931964992,1.297441482353851,-0.7298976019678132,0.12600442508722765
