Gene_Symbol,ES3
TSPAN6,1.785381586
TNMD,-0.800736623
DPM1,2.386924617
SCYL3,-0.116772099
C1orf112,-0.688994547
FGR,-0.694810875
CFH,-0.769320031
FUCA2,-0.605055885
GCLC,0.287014223
NFYA,0.241736265
STPG1,-0.708558735
NIPAL3,0.359503029
LAS1L,-0.490549638
ENPP4,-0.327125856
SEMA3F,-0.295711741
CFTR,-0.813842797
ANKIB1,1.791083972
KRIT1,-0.366350253
RAD52,-0.474765368
BAD,0.970998124
LAP3,0.355933094
CD99,2.739622266
HS3ST1,-0.874227251
ABP1,-0.703171088
WNT16,-0.939544426
HECW1,-0.943981073
MAD1L1,0.268392638
LASP1,-0.460088065
SNX11,0.099680687
TMEM176A,-0.510062984
M6PR,1.848272887
KLHL13,1.480419774
CYP26B1,-0.475027108
ICA1,-0.655805713
DBNDD1,-0.448043865
ALS2,-0.163377749
CASP10,-0.946298298
CFLAR,-0.005462429
TFPI,0.384006355
NDUFAF7,0.086216785
RBM5,1.82233457
MTMR7,-0.621507299
SLC7A2,0.943711397
ARF5,1.656981099
SARM1,-0.167080992
POLDIP2,1.073106458
PLXND1,0.057932864
AK2,0.760620486
CD38,-0.966874059
FKBP4,1.411524657
KDM1A,2.362302352
RBM6,0.382892432
CAMKK1,0.3182118
RECQL,0.876500707
CCDC132,-0.357638316
HSPB6,-0.960961317
ARHGAP33,-0.845452648
NDUFAB1,2.93385225
PDK4,-0.898389454
SLC22A16,-0.663875761
ZMYND10,-0.920465872
ABCB5,-0.971246625
ARX,0.861915273
SLC25A13,0.167384384
ST7,0.730464859
CDC27,1.476444908
SLC4A1,-0.885620076
CALCR,-0.789493436
HCCS,0.79206288
DVL2,0.644971241
PRSS22,-0.673548511
UPF1,0.600616089
SKAP2,-0.392076717
SLC25A5,2.901404268
CCDC109B,-0.166442554
HOXA11,-0.759764121
POLR2J,2.476247537
MEOX1,-0.773981276
THSD7A,-0.924810272
LIG3,-0.360126705
RPAP3,1.73854766
ACSM3,-0.678512145
CIAPIN1,0.637633065
SPPL2B,-0.429948202
FAM214B,-0.764378206
COPZ2,-0.461999976
PRKAR2B,-0.180514068
MSL3,-0.557327225
CREBBP,0.918294361
BZRAP1,-0.632684698
MPO,-0.72743772
PON1,-0.849424572
GCFC2,0.704256945
WDR54,1.585150942
CROT,-0.573814924
ABCB4,-0.923366466
MLL5,0.883260669
RHBDD2,2.006448688
SOX8,0.229386611
IBTK,1.163048769
ZNF195,1.739753642
MYCBP2,1.390590489
FBXL3,0.53608444
ITGAL,-0.848272487
PDK2,-0.815706153
ITGA3,-0.970991946
ZFX,-0.381185858
LAMP2,0.638163804
GGNBP2,1.308577221
ITGA2B,-0.773268394
ASB4,-0.832488025
GDE1,1.404703889
C19orf60,1.206028979
CRLF1,-0.218828712
OSBPL7,-0.860229384
TMEM98,1.857028761
YBX2,0.52499067
KRT33A,-0.844061554
MAP3K14,-0.757881111
ABCC8,-0.844914343
CCL18,-0.91285291
CCL3,-0.866372938
SYNRG,-0.765571233
CACNG3,-0.778347211
TMEM132A,-0.008393242
AP2B1,1.242048743
TAC1,-0.323493761
ZNF263,0.900178428
CX3CL1,-0.690927766
SPATA20,-0.696355071
CACNA1G,-0.713916722
TNFRSF12A,0.626532394
DLX6,-0.325750941
MAP3K9,-0.820162737
RALA,1.397562062
BAIAP2L1,-0.684814891
JHDM1D,0.553407385
ETV1,-0.538894157
AGK,0.668147039
ALDH3B1,-0.376842134
TTC22,-0.87514875
PHTF2,0.067119152
CCL26,-0.606557587
FARP2,-0.738445411
USH1C,-0.862692677
GGCT,1.616629773
DBF4,0.357781359
TBXA2R,-0.766846306
IFRD1,2.283384774
LGALS14,-0.900117972
COX10,-0.494785356
GTF2IRD1,1.555440871
PAF1,1.007910629
VPS41,0.578148087
ARHGAP44,-0.801076487
ELAC2,1.292785688
SCIN,-0.871556689
ARSD,-0.792544202
PNPLA4,-0.720270405
MYH13,-0.778123956
ADIPOR2,0.929398826
CDKL3,-0.59633983
UPP2,-0.900969263
PRSS21,-0.85914142
MARK4,-0.851882627
PROM1,-0.031167994
CCDC124,0.746846649
CEACAM21,1.095749971
PAFAH1B1,1.361798075
NOS2,-0.648955485
DNAH9,-0.929821964
KIAA0100,1.596164534
SLC13A2,-0.858049272
GAS7,-0.708945193
TRAPPC6A,1.104069
MATK,-0.646585015
CEACAM7,-0.842517671
CD79B,-0.32029788
SCN4A,-0.737994053
ST7L,0.032021433
TKTL1,-0.740194204
PAX6,0.136751693
RPUSD1,-0.437966121
RHBDF1,-0.662164072
LUC7L,1.483627819
CACNA2D2,-0.802749983
BAIAP3,-0.769429054
TSR3,1.205773488
PIGQ,-0.407842942
TEAD3,-0.286526523
SELE,-0.824929568
DNAJC11,0.071621984
FMO3,-0.92319884
MYLIP,-0.21597342
NOX1,-0.883816193
E2F2,-0.644930932
PSMB1,3.230930265
SYN1,0.449680776
JARID2,0.837036267
CDKL5,-0.775420583
CAMK1G,-0.022042297
CDK11A,1.149622189
NADK,0.189509639
TFAP2B,2.265575933
TFAP2D,-0.6860819
DLEC1,-0.889013201
CYTH3,-0.313187363
ADAM22,-0.835429026
SYPL1,2.170159386
CYB561,-0.503008811
SPAG9,0.236531467
CELSR3,-0.581319507
AASS,1.025013116
PLEKHG6,-0.570248449
SS18L2,1.672497027
MPND,0.880046104
MGST1,0.162940602
CRY1,1.698806356
PGLYRP1,-0.904816299
NFIX,-0.155898224
ST3GAL1,-0.426569886
MMP25,-0.89644638
PKD1,0.031535754
MAPK8IP2,-0.650832682
MED24,-0.279466094
RHOBTB2,-0.653356393
HEATR5B,1.191645961
SEC62,0.951329033
RPS20,-0.281854437
CSDE1,3.085054577
UBE3C,0.128015446
REV3L,0.954254511
TENM1,-0.589322977
PAX7,1.823395465
MASP2,-0.737014038
IYD,-0.853992491
FAM76A,-0.273435975
TRAF3IP3,-0.808882959
POMT2,-0.293240993
VTA1,1.190172876
MLXIPL,1.25898583
BAZ1B,1.543558137
RANBP9,2.525275768
ETV7,-0.799674041
SPRTN,-0.084334063
METTL13,1.076157846
ZNF207,2.039883598
UQCRC1,1.544780414
STARD3NL,1.600202494
CD9,0.005132221
NCAPD2,1.217643964
IFFO1,-0.396741737
GIPR,-0.553717852
PHF7,-0.870318648
SEMA3G,-0.79045068
NISCH,1.256038779
STAB1,-0.767440276
FUZ,0.036520085
SLC6A13,-0.811753412
IDS,0.854749385
PRSS3,-0.908638883
ZNF200,0.673315743
CD4,-0.909314809
LRRC23,0.293809251
BTK,-0.935255113
HFE,-0.721271546
SCMH1,0.027349407
FYN,1.867437664
HIVEP2,-0.773439524
FMO1,-0.933199057
TCEB3,1.051656674
LYPLA2,2.571793091
CLCN6,-0.51507054
MRC2,-0.509289888
SLC6A7,-0.854294939
TSPAN9,-0.215301097
BTBD7,0.664033619
APBA3,0.072126029
MKS1,-0.103518753
ABHD5,0.118517524
KAL1,-0.784569308
AKAP8L,1.056018961
MBTD1,0.252858185
UTP18,0.415768869
RNF216,0.166341454
TTC19,1.753339208
PTBP1,2.427878057
DPF1,-0.733853292
SYT7,-0.679590886
LARS2,0.382608651
PIK3C2A,-0.428464806
PLAUR,-0.436416697
ANLN,0.542434208
WIZ,0.054720357
RABGAP1,1.957545485
DCN,-0.572310729
QPCTL,-0.759580714
PPP5C,0.109331093
CEP68,0.359548405
MAP4K3,0.033867755
ZBTB32,-0.634686262
TYROBP,-0.775813248
TMEM159,-0.39028011
GABRA3,-0.719177395
BRCA1,-0.654776973
ERCC1,2.090897068
CD22,-0.797453309
SEMA3B,-0.468778082
MBTPS2,0.892591035
PRICKLE3,-0.910491339
LTF,-0.767206069
EXTL3,0.676178374
NR1H4,-0.849528707
ELOVL5,1.477888125
ALOX5,-1.008698868
KDM5D,-0.598779323
CALCOCO1,-0.60990339
UBR7,0.625777298
MAP4K5,0.761541965
EHD3,-0.525791943
PSMC4,1.873263526
MAN2B2,-0.264683573
SLC7A14,-0.861236197
CLDN11,-0.818218197
SLC25A39,1.445785626
MVP,-0.160279017
NUB1,0.83069885
PGM3,0.802896918
RWDD2A,0.653476478
CLK1,0.828486455
POLR3B,1.717871108
ANGEL1,-0.506187471
RNF14,1.164955536
DNASE1L1,-0.010292116
DDX11,-0.851483861
HEBP1,1.333953535
GPRC5A,-0.774022493
MAMLD1,-0.877392385
CD6,-0.890352615
TACC3,-0.590431054
UFL1,0.976633631
